date,Green_Algae,Cyanobacteria,Diatoms,Cryptophyta,pH,Turbidity,WT,precipitation,DIN,DIP,TN,TP,NPR,Algae_Sum,log_Green_Algae,log_Cyanobacteria,log_Diatoms,log_Cryptophyta,log_Algae_Sum,log_Turbidity,log_DIP,log_TP,log_precipitation,log_NPR
2020-09-28,3.191853729,2.996582187,1.251955105,0.192404055,7.351993483,74.24243881,25.94884866,0.1,1.858,0.022,2.062,0.027,84.4545454545455,7.632795076,1.4331430535187486,1.3854395426166364,0.8117987744659383,0.17597148352045855,2.155568331684498,4.320715417650206,0.02176149178151269,0.026641930946421175,0.09531017980432487,4.44798460246568
2020-09-29,3.083041274,2.927096307,1.280601014,0.132679218,7.357042723,74.24243881,26.007958,0.1,1.851,0.039,1.952,0.046,47.4615384615385,7.423417813,1.4068421210299167,1.3679002996139749,0.824439010860859,0.12458581574448382,2.1310156619258636,4.320715417650206,0.038258712117090345,0.044973365642731154,0.09531017980432487,3.8807704619240426
2020-09-30,3.234811594,2.813152174,1.222637681,0.226318841,7.399246377,65.65111594,25.44127536,10.5,1.831,0.033,1.992,0.039,55.4848484848485,7.49692029,1.443338839274971,1.3384561893368756,0.7986946351935924,0.20401686977121714,2.1397037790194178,4.199471789770372,0.032467190137501496,0.038258712117090345,2.4423470353692043,4.033972433779057
2020-10-01,3.67076756,2.475213613,1.445756698,0.317212165,7.407875453,57.33435844,26.04386676,10.3888888888889,1.76,0.029,1.835,0.036,60.6896551724138,7.908950036,1.5413234179182638,1.245655948494375,0.8943545629798838,0.2755175069769697,2.1870563934614715,4.066191258358139,0.028587456851912555,0.03536714383729131,2.4326382212422444,4.122116253522245
2020-10-02,3.342983345,2.086212889,1.167986966,0.150347574,7.411314989,47.00995076,25.93287473,10.2777777777778,1.848,0.032,1.969,0.034,57.75,6.747530774,1.4685615186385852,1.1269447369796015,0.7737990715667077,0.14006413497124598,2.0473741827919163,3.8714082969226604,0.03149866705937099,0.03343477608623739,2.4228342211456244,4.073291153024268
2020-10-03,6.374833333,2.096050725,1.33673913,0.975623188,7.62667971,43.58056014,26.50378986,10.1666666666667,1.83,0.03,2.033,0.038,61.0,10.783246376,1.99807330305527,1.1301273396371914,0.8487564233098134,0.6808838868092163,2.466678723958416,3.7972978927060628,0.0295588022415444,0.037295784743696894,2.412933150162914,4.127134385045092
2020-10-04,8.112635771,2.169913106,1.181542361,1.442280956,7.701812455,44.03330992,26.78707458,10.0555555555556,1.795,0.03,2.106,0.037,59.8333333333333,12.906372194,2.20966199664765,1.1537041761570244,0.780032131683162,0.8929324206676371,2.632347166312178,3.8074024363867314,0.0295588022415444,0.03633192924739028,2.4029330668283317,4.108137884354436
2020-10-05,8.920622287,2.309167873,1.213089725,3.21260492,7.656107815,43.10355789,26.42971056,9.94444444444444,1.664,0.024,1.875,0.035,69.3333333333333,15.655484805,2.294615649873658,1.1966967598980296,0.7943896047567215,1.4380812021932363,2.812739579898067,3.7865404569763013,0.023716526617316044,0.0344014267173324,2.3928319708418235,4.253245844807957
2020-10-06,9.889775687,2.059645441,1.391729378,2.961729378,7.697096237,42.38011433,26.59562952,9.83333333333333,1.606,0.013,1.722,0.03,123.538461538462,16.302879884000003,2.3878243386611007,1.118299040296715,0.8720166934003674,1.3766806415517865,2.8508729549328296,3.77000114094159,0.012916225266546327,0.0295588022415444,2.382627800667582,4.824614596216102
2020-10-07,8.426751085,1.91841534,1.031063676,3.327785818,7.672941389,42.09704559,26.23698263,9.72222222222222,1.655,0.028,1.794,0.038,59.1071428571429,14.704015919,2.243551507588905,1.0710407771888855,0.708559634150111,1.4650560527965273,2.7539164706644255,3.7634544469643707,0.027615167032973367,0.037295784743696894,2.3723184310087206,4.096128684015603
2020-10-08,5.952836469,2.334052098,1.501490593,1.201447178,7.634350217,43.87165051,26.2432055,9.61111111111111,1.658,0.027,1.862,0.053,61.4074074074074,10.989826338,1.9391497013523025,1.2041884104812584,0.916886791395378,0.78911495228512,2.4840584850312775,3.803806203577024,0.026641930946421175,0.05164323315183845,2.361901670150465,4.133683976782133
2020-10-09,7.055629522,2.118994211,1.659703329,2.140513748,7.754741679,35.42506223,26.19232996,9.5,1.628,0.013,1.89,0.058,125.230769230769,12.97484081,2.086371166523634,1.1375105815803401,0.9782145861224967,1.144386400549588,2.6372586279208283,3.5952570605218135,0.012916225266546327,0.05638033343610764,2.3513752571634776,4.838111733628552
2020-10-10,6.500238784,2.170101302,2.278813314,2.29133864,7.751918234,38.29227135,26.05518813,9.38888888888889,1.638,0.022,1.78,0.036,74.4545454545455,13.24049204,2.0149348579021176,1.1537635438454692,1.1874815624204327,1.191294363482433,2.6560894587576622,3.671027841774728,0.02176149178151269,0.03536714383729131,2.340736858958422,4.3235304279922735
2020-10-11,10.1267777,1.847813179,2.625916003,5.460782042,7.897879797,34.68736857,26.24550326,9.27777777777778,1.772,0.031,1.814,0.039,57.1612903225806,20.061288924000003,2.409354608545148,1.046551394136899,1.288106946868534,1.865750369600572,3.047436707302171,3.5747968046073457,0.03052920503482287,0.038258712117090345,2.3299840671821603,4.06322001871817
