target,model_name,horizon,dataset,nRMSE,nMAE,NSE,KGE
Green_Algae,LSTM_FC,1,train,0.3533853990043281,0.23447067392818785,0.8229535501659734,0.8678440552522794
Green_Algae,LSTM_FC,2,train,0.4692470691655194,0.32174409500610834,0.688120497402539,0.7883932826600804
Green_Algae,LSTM_FC,3,train,0.5380362372425206,0.3695157613177076,0.5895952688220463,0.6939532888935076
Green_Algae,LSTM_FC,1,val,0.5133601882631624,0.35699506010850846,0.7514081468531579,0.735580040453315
Green_Algae,LSTM_FC,2,val,0.7144715240892607,0.5079180501651164,0.5288899655535515,0.6063906958525986
Green_Algae,LSTM_FC,3,val,0.896681154252057,0.6574239563404278,0.2753609092106305,0.43649977005183005
Green_Algae,LSTM_FC,1,test,1.3132187306374326,0.8472830349772812,0.5973686539406406,0.5572687755893038
Green_Algae,LSTM_FC,2,test,1.8107176209961873,1.1116150202631374,0.24678454611460043,0.4042235308815363
Green_Algae,LSTM_FC,3,test,2.121738168723817,1.3110620718696335,-0.03917488986309281,0.324363845128416
Green_Algae,LSTM_MLP,1,train,0.39379970894393207,0.26518388904285844,0.7801427451233592,0.7011478967353019
Green_Algae,LSTM_MLP,2,train,0.4998786280815984,0.339551031694319,0.6460737017231594,0.6232003978453442
Green_Algae,LSTM_MLP,3,train,0.578333718274127,0.3947389761028612,0.5258166155455172,0.5213066266372535
Green_Algae,LSTM_MLP,1,val,0.5220136192549139,0.3880747679982096,0.7429567590647801,0.7283436444884488
Green_Algae,LSTM_MLP,2,val,0.6811476533770227,0.4973079295269635,0.5718114640121553,0.6626365158645646
Green_Algae,LSTM_MLP,3,val,0.8339887612623847,0.6592033053952049,0.3731464778742726,0.4887570190793097
Green_Algae,LSTM_MLP,1,test,1.3291563131911353,0.9187456844545152,0.5875364619052271,0.43405508889849753
Green_Algae,LSTM_MLP,2,test,1.7714550500605595,1.0888819481285634,0.2790949968377723,0.3967728553061076
Green_Algae,LSTM_MLP,3,test,2.1589688189561094,1.42667590435177,-0.07596416141679208,0.010638611847035184
Green_Algae,LSTM_KAN,1,train,0.3489253487350331,0.23450323068603562,0.8273943284215229,0.8565387578732316
Green_Algae,LSTM_KAN,2,train,0.4758480400995356,0.3278386164015411,0.6792842669983021,0.7270496802645142
Green_Algae,LSTM_KAN,3,train,0.5618554808067563,0.38659129694359756,0.5524531048990863,0.6010868048722244
Green_Algae,LSTM_KAN,1,val,0.5007435059730461,0.33251096529665586,0.7634771125368259,0.7789794239355471
Green_Algae,LSTM_KAN,2,val,0.6745161855617432,0.4672688928398524,0.5801083320770343,0.6819716847358559
Green_Algae,LSTM_KAN,3,val,0.8234122104339454,0.6070115772611689,0.3889450313315538,0.549030160218192
Green_Algae,LSTM_KAN,1,test,1.2987030340012997,0.8281433245393484,0.6062204519181942,0.6050080069261834
Green_Algae,LSTM_KAN,2,test,1.799825371290643,1.1123875165037909,0.25581912419857,0.37820849124011424
Green_Algae,LSTM_KAN,3,test,2.171122068987911,1.3731751382123503,-0.08811187408413268,0.10486369841329302
Cyanobacteria,LSTM_FC,1,train,0.2868330204424849,0.18493803005603343,0.7755881145041013,0.7419019354983855
Cyanobacteria,LSTM_FC,2,train,0.35854042071440584,0.2361288515648587,0.6494151702757114,0.652847329937602
Cyanobacteria,LSTM_FC,3,train,0.39101168728092256,0.26191425711879696,0.5831549315500348,0.6040538439428624
Cyanobacteria,LSTM_FC,1,val,0.25088633719321013,0.1729769439465322,0.6246067257879677,0.7400882344535793
Cyanobacteria,LSTM_FC,2,val,0.34431502634557554,0.2480751641404396,0.2957362720590849,0.4601651840371147
Cyanobacteria,LSTM_FC,3,val,0.3871245616021138,0.2919666821625456,0.11479098799927956,0.2741913777381163
Cyanobacteria,LSTM_FC,1,test,0.33036659905370863,0.2477462406444187,0.5856698691409141,0.5305039505377793
