target,model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3
Cryptophyta,LSTM_MLP,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,1,64,,,,4,0.35095452870464655,0.2615712249562854,0.5128290151144923,0.42317690161014593,-0.14202347457710993,0.2926434476979928,0.430978862523234,0.5451953781379788,0.562312804682264
Cryptophyta,LSTM_MLP,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,1,64,,,,14,0.20852450350989107,0.26074718009857906,0.5665508388529038,0.4477819149149594,-0.4000332850750033,0.41145693047307424,0.47135121619095993,0.5826620457457752,0.6456392546219765
Cryptophyta,LSTM_MLP,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,1,64,,,,6,0.3352137835999261,0.2554672488144466,0.5039976021153297,0.4201104655791121,-0.0962440473545767,0.3437379638411681,0.4510057378831251,0.5072526804857427,0.5537343879771216
Cryptophyta,LSTM_MLP,trial_0004,hidden_dim,30,3,128,0.0,0.002,64,0.0,1,64,,,,1,0.7912473431095532,0.22368552287419638,0.4898925174164899,0.39889951185864403,-0.024662192120844972,0.24908339453409808,0.4997548149652115,0.49032561441184436,0.47959712287241396
Cryptophyta,LSTM_MLP,trial_0005,mlp_num_layers,30,3,128,0.0,0.002,64,0.0,2,64,,,,14,0.2527138000953569,0.28253858926750364,0.5372042541912196,0.4495068290502433,-0.25022140330532333,0.33171968737102514,0.4675501421134925,0.5444785903069264,0.5995840301532401
Cryptophyta,LSTM_MLP,trial_0006,mlp_hidden_dim,30,3,128,0.0,0.002,64,0.0,1,32,,,,7,0.3739412317638991,0.29932763817764463,0.5370310687987189,0.4341350789039855,-0.24363573163903016,0.22188062083557736,0.49020488224322756,0.5287048523832246,0.5921834717697045
Cryptophyta,LSTM_MLP,trial_0007,mlp_hidden_dim,30,3,128,0.0,0.002,64,0.0,1,128,,,,9,0.2662886768373239,0.2868772283906028,0.54334615018277,0.44910313600419277,-0.2780218781294095,0.29275146471444885,0.4711260395329298,0.5593827928041236,0.5995296182112567
Cryptophyta,LSTM_MLP,trial_0008,lr,30,3,128,0.0,0.001,64,0.0,1,64,,,,14,0.2938717494373915,0.2392055101337887,0.4843066157219158,0.3953049280817787,-0.01110103184531804,0.34432325360392896,0.43480922418881074,0.4913318193937669,0.5267788035831696
Cryptophyta,LSTM_MLP,trial_0009,lr,30,3,128,0.0,0.003,64,0.0,1,64,,,,9,0.2548252930381306,0.22259236162617094,0.46955496977289873,0.3800155340809754,0.05344153536311088,0.35476988385653563,0.43034724801280794,0.49144556339153506,0.4868720979143533
Cryptophyta,LSTM_MLP,trial_0010,dropout,30,3,128,0.1,0.003,64,0.0,1,64,,,,14,0.23791154559095837,0.2198221477724257,0.4822151198197817,0.3949230774691764,0.004258912793702607,0.4461994711339923,0.46464709670752447,0.4786996940475006,0.5032985687043202
Cryptophyta,LSTM_MLP,trial_0011,dropout,30,3,128,0.2,0.003,64,0.0,1,64,,,,2,0.5529320619510532,0.2029668316245079,0.44849004728430847,0.356485035958229,0.1402556974788437,0.15679790076836062,0.43824383239671694,0.4545515759559157,0.45267473350029275
Cryptophyta,LSTM_MLP,trial_0012,batch_size,30,3,128,0.2,0.003,32,0.0,1,64,,,,9,0.29552127384809473,0.23885889812594369,0.47838667714151767,0.38656882783828267,0.0076228284801524255,0.2421516960668868,0.411685809803804,0.4900617867893188,0.5334124348314302
Cryptophyta,LSTM_MLP,trial_0013,weight_decay,30,3,128,0.2,0.003,64,0.0001,1,64,,,,2,0.5672616436819716,0.21719102951742353,0.46137097610964567,0.3755143984527425,0.08989753827372275,0.1912590761924273,0.4488117850409709,0.46700985773408993,0.46829128555387617
Cryptophyta,LSTM_MLP,trial_0001,grid,30,1,128,0.0,0.001,64,0.0,1,64,,,,2,0.5896236162284666,0.20558779083547138,0.4532513200324377,0.36165621133473524,0.12187450962082931,0.28539346916156516,0.44057998815512117,0.46873733591452943,0.4504366360276624
Cryptophyta,LSTM_MLP,trial_0002,grid,30,1,128,0.0,0.002,64,0.0,1,64,,,,1,0.7528833534478316,0.21471017811979567,0.46391513228022835,0.38872727479458896,0.07900118169394317,0.30076710826641334,0.4419878767893812,0.48749910662784746,0.4622584134234564
Cryptophyta,LSTM_MLP,trial_0003,grid,30,1,256,0.0,0.001,64,0.0,1,64,,,,4,0.37444474890982815,0.24028060478823526,0.5004611241918225,0.40035133916833066,-0.09578957227809044,0.3814101018147895,0.4000972082815821,0.5483510770948622,0.5529350871990234
Cryptophyta,LSTM_MLP,trial_0004,grid,30,1,256,0.0,0.002,64,0.0,1,64,,,,6,0.304860416580649,0.2540074579772495,0.5306213901362736,0.4004179617499351,-0.23238657223942663,0.4129621543852065,0.4373421538721807,0.5381733508023213,0.6163486657343189
Cryptophyta,LSTM_MLP,trial_0005,grid,30,2,128,0.0,0.001,64,0.0,1,64,,,,3,0.5443138493592351,0.2723000461146945,0.5390870462999967,0.4546711088422007,-0.24421102226191418,0.3054293941905399,0.5148886224871643,0.5450786655429564,0.5572938508698695
Cryptophyta,LSTM_MLP,trial_0006,grid,30,2,128,0.0,0.002,64,0.0,1,64,,,,2,0.5391502275186426,0.21781565887587412,0.4711827004871789,0.38899563022075495,0.04623542122137662,0.288776819052666,0.43154179810854876,0.48464823738118795,0.49735806597180005
Cryptophyta,LSTM_MLP,trial_0007,grid,30,2,256,0.0,0.001,64,0.0,1,64,,,,4,0.4043376736574932,0.2525302597454616,0.5102539492146881,0.4239756631908121,-0.1296027304273537,0.3604714824902913,0.4315144006472436,0.5405775747618179,0.5586698722350028
Cryptophyta,LSTM_MLP,trial_0008,grid,30,2,256,0.0,0.002,64,0.0,1,64,,,,14,0.22711127295213587,0.21818204791772933,0.48256141959617277,0.3741963252429619,-0.020027295494074004,0.3148521980397166,0.39844396949114047,0.48519952775843866,0.5640407615389391
Cryptophyta,LSTM_MLP,trial_0001,baseline,30,2,256,0.1,0.002,32,0.0001,1,64,,,,7,0.2934305181140306,0.21555242013363612,0.4578084836818719,0.3631117657700946,0.08989464881341876,0.3070973776771015,0.39601552076127183,0.4585089269314424,0.5189010033529013
Cryptophyta,LSTM_MLP,trial_0002,num_layers,30,1,256,0.1,0.002,32,0.0001,1,64,,,,7,0.27314628758644977,0.23661554001626514,0.49425213405925345,0.39211109979575554,-0.09528475785878132,0.42900986529788215,0.3648178255064711,0.5078617583073176,0.6100768183639717
Cryptophyta,LSTM_MLP,trial_0003,num_layers,30,3,256,0.1,0.002,32,0.0001,1,64,,,,14,0.23610500769631673,0.20606540267666182,0.4533597816416652,0.3661207453001432,0.11781856076048758,0.39402277204009595,0.425670450184125,0.45152977883442486,0.4828791159064455
Cryptophyta,LSTM_MLP,trial_0004,num_layers,30,4,256,0.1,0.002,32,0.0001,1,64,,,,35,1.0110485669238345,0.2071628655706133,0.4956931700282781,0.3598764290725102,-0.049131145631220154,,0.5005893405013151,0.4989772008437535,0.4875129687397658
Cryptophyta,LSTM_MLP,trial_0005,hidden_dim,30,3,64,0.1,0.002,32,0.0001,1,64,,,,4,0.35778536547014045,0.26914500977311817,0.522784352414832,0.42134448517484246,-0.1825570886808863,0.2616327727246895,0.46426668320415493,0.5188987559298817,0.5851876181104595
Cryptophyta,LSTM_MLP,trial_0006,hidden_dim,30,3,128,0.1,0.002,32,0.0001,1,64,,,,4,0.36903838230664343,0.24170432913871037,0.48551591725252013,0.3971990385239191,-0.01623506564720656,0.23531314252899926,0.43614538042695405,0.49155225337390274,0.5288501179567037
Cryptophyta,LSTM_MLP,trial_0007,hidden_dim,30,3,384,0.1,0.002,32,0.0001,1,64,,,,8,0.3050689404398512,0.23552521708465757,0.48499085334783093,0.3923946425880526,-0.04068281071068117,0.38671037120705076,0.38876932532416675,0.4773965818187583,0.5888066529005678
Cryptophyta,LSTM_MLP,trial_0008,mlp_num_layers,30,3,256,0.1,0.002,32,0.0001,2,64,,,,12,0.37079596643216883,0.1763685680925846,0.4345681386828539,0.3169328466234436,0.17688066266399713,0.4841251896012082,0.3621559345122555,0.4486869889107426,0.49286149262556334
Cryptophyta,LSTM_MLP,trial_0009,mlp_hidden_dim,30,3,256,0.1,0.002,32,0.0001,2,32,,,,3,0.5458325473495008,0.19746903010777064,0.45783077315693,0.36013888494715207,0.08861237565601206,0.42121976582744836,0.389355068921551,0.46619696956166884,0.5179402809875701
Cryptophyta,LSTM_MLP,trial_0010,mlp_hidden_dim,30,3,256,0.1,0.002,32,0.0001,2,128,,,,14,0.3356650494374206,0.18602531722613744,0.4411556337677391,0.35109652546498404,0.16385038758077228,0.5100247275501703,0.40328325948188554,0.45508629904708076,0.46509734277425074
Cryptophyta,LSTM_MLP,trial_0011,lr,30,3,256,0.1,0.0005,32,0.0001,2,64,,,,8,0.42317603616153493,0.2398087673244022,0.48805330535698555,0.3898788405500553,-0.02488015354287069,0.21175193480195278,0.44213825154947456,0.49990258307065716,0.522119081450825
Cryptophyta,LSTM_MLP,trial_0012,lr,30,3,256,0.1,0.001,32,0.0001,2,64,,,,2,0.8137928950745341,0.2127845622599125,0.48521915173157804,0.36504151600172946,-0.0053237959437517635,-0.3675173189506871,0.48996558599006157,0.486275666346018,0.4794162028586546
Cryptophyta,LSTM_MLP,trial_0013,lr,30,3,256,0.1,0.003,32,0.0001,2,64,,,,8,0.44882696377158576,0.19796611865361533,0.4657495877930906,0.3791171895254526,0.06967421796127689,0.321117764309932,0.4351782860995919,0.47403980296704834,0.48803067431263153
Cryptophyta,LSTM_MLP,trial_0014,dropout,30,3,256,0.0,0.002,32,0.0001,2,64,,,,2,0.5964301614200368,0.1617666713538624,0.4211299006570388,0.3133250523809788,0.23943622289588581,0.3439845893065528,0.3940541183539428,0.4278678170020236,0.44146776661515014
Cryptophyta,LSTM_MLP,trial_0015,dropout,30,3,256,0.2,0.002,32,0.0001,2,64,,,,16,0.4309830269599043,0.16657754388593493,0.41744883717853437,0.31564713930043964,0.2381417593839014,0.4155837783429514,0.34353535066599905,0.4287384034098828,0.4800727574597213
Cryptophyta,LSTM_MLP,trial_0016,batch_size,30,3,256,0.2,0.002,64,0.0001,2,64,,,,7,0.708470182022834,0.197931574568862,0.4368584638453945,0.3434616294029016,0.18334227919845045,0.205556770481062,0.4168611048767235,0.45054082604877704,0.4431734606106831
Cryptophyta,LSTM_MLP,trial_0017,weight_decay,30,3,256,0.2,0.002,32,0.0,2,64,,,,9,0.42612917128318734,0.22254014015197754,0.47669506816944957,0.37591169587348694,0.02043852362297686,0.2671364661429569,0.42634409308086707,0.4872785947549444,0.5164625166725373
Cryptophyta,LSTM_MLP,trial_0018,weight_decay,30,3,256,0.2,0.002,32,1e-05,2,64,,,,20,0.4395980581022464,0.16465041307466372,0.4123489067421405,0.3000557921842046,0.26159971488361095,0.4033169210641971,0.352673417003167,0.42065085054246576,0.4637224526807887
