target,model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3
Cyanobacteria,LSTM_FC,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,,,,,,6,0.29429887250632975,0.38000330612772987,0.3969332265533254,0.3083597668241638,0.05464339577717148,0.37211102217729763,0.3418186473541616,0.40381297615068,0.44516805615513455
Cyanobacteria,LSTM_FC,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,,,,,,3,0.3743773103791537,0.3810313145319621,0.40053166829314063,0.30997192837346915,0.041027880046068464,0.35271710441065557,0.35316334696787954,0.41347548635215775,0.4349561715593845
Cyanobacteria,LSTM_FC,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,,,,,,10,0.2552721707672396,0.38506531147729783,0.3963812802092641,0.3096939630761856,0.04543441381977875,0.372135961205017,0.31556902384659585,0.40713758195546945,0.46643723482572697
Cyanobacteria,LSTM_FC,trial_0004,hidden_dim,30,3,128,0.0,0.002,64,0.0,,,,,,10,0.251392461643087,0.40121400640124366,0.4028508468275514,0.3115715163294632,0.016183232845262647,0.2812749827155059,0.3257699657786818,0.4105096014731204,0.47227297323085227
Cyanobacteria,LSTM_FC,trial_0005,lr,30,3,256,0.0,0.001,64,0.0,,,,,,10,0.26792851513232324,0.3995921186038426,0.4045021875509987,0.3214435287376843,0.011836499128292285,0.32163744506861824,0.33189429371777956,0.4179427905964423,0.46366947833877425
Cyanobacteria,LSTM_FC,trial_0006,lr,30,3,256,0.0,0.003,64,0.0,,,,,,7,0.3110456296523137,0.34627231104033335,0.38656601890824716,0.2914813119279067,0.10207749980278887,0.38221498708942264,0.32681261386840965,0.401617378845483,0.43126806401084894
Cyanobacteria,LSTM_FC,trial_0007,dropout,30,3,256,0.1,0.003,64,0.0,,,,,,5,0.33058031413794386,0.39565449953079224,0.4034288380099584,0.31703169645121226,0.024391764275913237,0.30484215963940153,0.3488764291244113,0.4130196570927138,0.44839042781275
Cyanobacteria,LSTM_FC,trial_0008,dropout,30,3,256,0.2,0.003,64,0.0,,,,,,5,0.32971835713898023,0.3470008202961513,0.3818142607846222,0.3000964188072895,0.12604902296812256,0.2983199495217121,0.32892166742484547,0.3941573617451477,0.42236375318387354
Cyanobacteria,LSTM_FC,trial_0009,batch_size,30,3,256,0.2,0.003,32,0.0,,,,,,4,0.31887722559350584,0.30791905451388585,0.37229681567615214,0.2748653361424177,0.164948249739901,0.4824359858226323,0.30872353881772807,0.38900762423296753,0.4191592839777608
Cyanobacteria,LSTM_FC,trial_0010,weight_decay,30,3,256,0.2,0.003,32,0.0001,,,,,,7,0.3103983358940864,0.2762049493335542,0.3548449402058174,0.2528616578889056,0.2297106252427178,0.4536130867779042,0.2708581921502476,0.37031074942359327,0.42336587904361156
Cyanobacteria,LSTM_FC,trial_0001,grid,30,1,128,0.0,0.001,64,0.0,,,,,,5,0.3699047049849091,0.3647158600035168,0.39153753735310154,0.3033487612350431,0.08556742493129625,0.2693390586107871,0.3533730605157278,0.4000617155926275,0.4211778359509492
Cyanobacteria,LSTM_FC,trial_0002,grid,30,1,128,0.0,0.002,64,0.0,,,,,,3,0.37709192220108734,0.3096898510342553,0.36649575228229375,0.274310472826579,0.19879840679741803,0.3231464872946227,0.3306139969974025,0.37505685794876603,0.3938164019007126
Cyanobacteria,LSTM_FC,trial_0003,grid,30,1,256,0.0,0.001,64,0.0,,,,,,3,0.4116032315630814,0.3534673083396185,0.38740564949722023,0.29484418354836844,0.10710185255226841,0.24498403459574725,0.3635963101379466,0.3879227224732773,0.4106979158804367
Cyanobacteria,LSTM_FC,trial_0004,grid,30,1,256,0.0,0.002,64,0.0,,,,,,3,0.34821050900282746,0.282349841935294,0.3490734893881264,0.25631632783863195,0.2693065459671587,0.3852481522988036,0.3009807228611835,0.35759628742605304,0.38864345787714244
Cyanobacteria,LSTM_FC,trial_0005,grid,30,2,128,0.0,0.001,64,0.0,,,,,,5,0.36043304349311905,0.36941021113168626,0.397144071901246,0.302717053646701,0.05953353927491759,0.25349827592290014,0.359666018425278,0.4062367133416364,0.4255294839368236
Cyanobacteria,LSTM_FC,trial_0006,grid,30,2,128,0.0,0.002,64,0.0,,,,,,3,0.3810608294699019,0.32095208054497126,0.37410171316620255,0.2790937709900901,0.16537653858723647,0.28481247935076737,0.3389184811119576,0.38053796991315747,0.40284868847349264
Cyanobacteria,LSTM_FC,trial_0007,grid,30,2,256,0.0,0.001,64,0.0,,,,,,3,0.40634764457656436,0.33220620098568143,0.3775792368108865,0.2829191209871534,0.1509920959218657,0.25035757151896987,0.3494231400499188,0.3790736298654361,0.4042409405173047
Cyanobacteria,LSTM_FC,trial_0008,grid,30,2,256,0.0,0.002,64,0.0,,,,,,5,0.28522522185500515,0.26592917101723806,0.3424595000576993,0.2552178673230909,0.28860037534141364,0.43521709877021575,0.27283934238114577,0.35779366080152125,0.3967454969904309
Cyanobacteria,LSTM_FC,trial_0001,baseline,30,2,256,0.1,0.002,32,0.0001,,,,,,5,0.27230246731154234,0.2653284881796156,0.33492285754428175,0.25199852179218074,0.313280378949286,0.44783089044349605,0.25462914430730516,0.3499299355099228,0.4002094928156172
Cyanobacteria,LSTM_FC,trial_0002,num_layers,30,1,256,0.1,0.002,32,0.0001,,,,,,3,0.3162683829613623,0.28968288217272076,0.348737566929157,0.26513771387799473,0.26894697662241523,0.41456204020310644,0.293899087697058,0.3630282842326716,0.38928532885774114
Cyanobacteria,LSTM_FC,trial_0003,num_layers,30,3,256,0.1,0.002,32,0.0001,,,,,,5,0.283642798352819,0.2602755980832236,0.33737994199356525,0.24921518789413796,0.3068434473285066,0.491026595520862,0.26435172781518657,0.3493802083680755,0.3984078897974336
Cyanobacteria,LSTM_FC,trial_0004,num_layers,30,4,256,0.1,0.002,32,0.0001,,,,,,5,0.3020969860281499,0.256730056589558,0.34022192371349175,0.2435737086020655,0.2985557693939725,0.5038628856810193,0.27336773214357235,0.3528084800261027,0.39448955897080024
Cyanobacteria,LSTM_FC,trial_0005,hidden_dim,30,2,64,0.1,0.002,32,0.0001,,,,,,6,0.280947400933731,0.3261704870632717,0.367491269255605,0.2855903469903949,0.17886620032324582,0.3754267344413253,0.29058695252898187,0.3795939559718348,0.4322928992659983
Cyanobacteria,LSTM_FC,trial_0006,hidden_dim,30,2,128,0.1,0.002,32,0.0001,,,,,,5,0.26154595943470726,0.30290818498248145,0.3589442849587981,0.27126876762252566,0.21304262317095535,0.4395974052666734,0.2763851618257781,0.373692669273931,0.4267550237766852
Cyanobacteria,LSTM_FC,trial_0007,hidden_dim,30,2,384,0.1,0.002,32,0.0001,,,,,,5,0.2842544337869928,0.24081907102039882,0.32768361491369175,0.23964258806168473,0.34178678586768285,0.49015340480138386,0.24708377477124102,0.3438709841517058,0.3920960858181285
Cyanobacteria,LSTM_FC,trial_0008,lr,30,2,384,0.1,0.0005,32,0.0001,,,,,,5,0.3236933958984164,0.3255663996651059,0.3730284651275577,0.28337036497054213,0.16373478656694684,0.3407702143583286,0.31635600659806895,0.3832124928998331,0.41951689588477103
Cyanobacteria,LSTM_FC,trial_0009,lr,30,2,384,0.1,0.001,32,0.0001,,,,,,5,0.29062582423530237,0.27481609157153536,0.3447166568787494,0.25757466064343726,0.2736609176012895,0.44281170886201676,0.26400517260067663,0.3602957803377523,0.40984901769781934
Cyanobacteria,LSTM_FC,trial_0010,lr,30,2,384,0.1,0.003,32,0.0001,,,,,,4,0.29565250216161504,0.2555158734321594,0.3384396368360221,0.24437756019313725,0.2965688304908535,0.4717146757228499,0.2519431229777605,0.3585134476702999,0.4048623398600057
Cyanobacteria,LSTM_FC,trial_0011,dropout,30,2,384,0.0,0.002,32,0.0001,,,,,,5,0.27933302387646736,0.24138087176141285,0.3274419750469664,0.23767293008317247,0.3450446619487774,0.49148159874293684,0.25088633719321013,0.34431502634557554,0.3871245616021138
Cyanobacteria,LSTM_FC,trial_0012,dropout,30,2,384,0.2,0.002,32,0.0001,,,,,,5,0.28247079696622274,0.24476076449666703,0.3298720299614601,0.24111495577346362,0.3317794498279624,0.5056233007988481,0.24737282409452482,0.34408823700679286,0.39815502878306264
Cyanobacteria,LSTM_FC,trial_0013,batch_size,30,2,384,0.0,0.002,64,0.0001,,,,,,7,0.2999395196774014,0.25967376288913546,0.3441611167764252,0.253099046098207,0.2771741895580804,0.50985809005074,0.26450531719725195,0.36362919465204785,0.4043488384799759
Cyanobacteria,LSTM_FC,trial_0014,weight_decay,30,2,384,0.0,0.002,32,0.0,,,,,,5,0.27496899370503675,0.2428876431215377,0.32888264215232316,0.23764900207520293,0.33841733147325176,0.4843329596944351,0.2500708267582624,0.34691608005760577,0.3896610196411012
Cyanobacteria,LSTM_FC,trial_0015,weight_decay,30,2,384,0.0,0.002,32,1e-05,,,,,,5,0.2755947432716,0.2421606850056421,0.32864732504008537,0.23766142808613733,0.338925551646087,0.484746427832164,0.24910205893317522,0.34661051945826554,0.39022939672881524
