target,model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3
Diatoms,LSTM_KAN,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,,,64,5,3,9,0.19036133346312187,0.24332258318151748,0.9444629281598168,0.6275175209540157,0.5243869708081563,0.4369101712131554,0.7927040373034342,0.9557883714787866,1.0848963756972296
Diatoms,LSTM_KAN,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,,,64,5,3,9,0.18434952397969354,0.268800404100191,0.9532001404151149,0.6071297556886535,0.5144381984892213,0.5180169804199687,0.7900161497733901,0.962852112742216,1.1067321587297385
Diatoms,LSTM_KAN,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,,,64,5,3,9,0.19555279679570645,0.25735204347542356,0.9454795484151713,0.6428848189488715,0.5273335574188849,0.4733178959507692,0.841983174365052,0.9583259275767565,1.0361295433037057
Diatoms,LSTM_KAN,trial_0004,hidden_dim,30,1,128,0.0,0.002,64,0.0,,,64,5,3,11,0.18499648220398845,0.2778844968194053,0.9408387518770573,0.6564361312285039,0.5270456994380813,0.5300696002665833,0.7764667676564212,0.960720337962154,1.0853291500125968
Diatoms,LSTM_KAN,trial_0005,kan_hidden_dim,30,1,128,0.0,0.002,64,0.0,,,32,5,3,10,0.188465199823198,0.271088319165366,0.9447480699203078,0.6548201817526941,0.5229069722623547,0.4777405289300172,0.7782257661972227,0.9635732944589731,1.0924451491047271
Diatoms,LSTM_KAN,trial_0006,kan_hidden_dim,30,1,128,0.0,0.002,64,0.0,,,128,5,3,9,0.19405102567379862,0.28825699928260984,0.9321451408941307,0.6502943654132082,0.5362247244185456,0.5589569529727633,0.7768450105039275,0.9446973708143088,1.0748930413641553
Diatoms,LSTM_KAN,trial_0007,grid_size,30,1,128,0.0,0.002,64,0.0,,,128,3,3,10,0.1910980178307497,0.2508251489627929,0.9309020715836142,0.6182374264455422,0.5389222523505975,0.49696595899374935,0.7909903111607751,0.944075575860733,1.0576403277293343
Diatoms,LSTM_KAN,trial_0008,grid_size,30,1,128,0.0,0.002,64,0.0,,,128,7,3,10,0.18480600927115312,0.24247588146300542,0.8857320868958563,0.6165751294954661,0.5792934484511488,0.5820430762791703,0.7153341328049175,0.9064584109190864,1.0354037169635648
Diatoms,LSTM_KAN,trial_0009,spline_order,30,1,128,0.0,0.002,64,0.0,,,128,7,2,10,0.18149881111296814,0.244474287543978,0.885096413603676,0.632275397383118,0.5788718379182267,0.5601105707961582,0.7040257993623296,0.9099840965398235,1.0412793449088749
Diatoms,LSTM_KAN,trial_0010,lr,30,1,128,0.0,0.001,64,0.0,,,128,7,2,16,0.17557420625406153,0.2563110100371497,0.9242864010748892,0.6480339370867889,0.5440271625483383,0.47324762658975644,0.7703355534671389,0.9370109731016306,1.0655126766558982
Diatoms,LSTM_KAN,trial_0011,lr,30,1,128,0.0,0.003,64,0.0,,,128,7,2,9,0.17371206862085006,0.25288778685388114,0.937211117997709,0.6182644916654138,0.5268360926461423,0.4698182989861352,0.7393059560618689,0.958925197488402,1.113402200442856
Diatoms,LSTM_KAN,trial_0012,dropout,30,1,128,0.1,0.002,64,0.0,,,128,7,2,9,0.19415104809413733,0.25030781896341414,0.9160885737578829,0.6172876423953836,0.5493584689066132,0.5288009937847553,0.7330639654178561,0.9414591189552032,1.0737426369005896
Diatoms,LSTM_KAN,trial_0013,dropout,30,1,128,0.2,0.002,64,0.0,,,128,7,2,10,0.1941511428376795,0.24880002722853706,0.9077284548278725,0.6051985873822633,0.5587294715779126,0.553485674368425,0.7396243375921359,0.9261189590395463,1.057442067851935
Diatoms,LSTM_KAN,trial_0014,batch_size,30,1,128,0.0,0.002,32,0.0,,,128,7,2,7,0.18346916139125824,0.2908593483624004,0.9515148889565266,0.6728203434537575,0.5147018492555998,0.552705933478347,0.7730724422197847,0.9669557204605738,1.114516504189221
Diatoms,LSTM_KAN,trial_0015,weight_decay,30,1,128,0.0,0.002,64,0.0001,,,128,7,2,10,0.18753570808052605,0.23628751791658856,0.8797657827656543,0.6216207526359279,0.5851022254713824,0.5646930437826246,0.7120023648555087,0.9003824554968971,1.0269125279445568
Diatoms,LSTM_KAN,trial_0001,grid,30,1,256,0.0,0.001,64,0.0,,,64,3,3,16,0.1671229799932262,0.22446086222217196,0.911983825047309,0.5875414573086316,0.557340002598187,0.5011703854000623,0.773362317552236,0.92501002251589,1.037579135073801
Diatoms,LSTM_KAN,trial_0002,grid,30,1,256,0.0,0.002,64,0.0,,,64,3,3,9,0.18070520282719787,0.24569434920946756,0.9619141855734729,0.6090028903906979,0.50780645637008,0.4053027299493042,0.8146848469003082,0.9861843821762787,1.084873327643832
Diatoms,LSTM_KAN,trial_0003,grid,30,1,256,0.0,0.001,64,0.0,,,64,5,3,12,0.19801800370628858,0.23043822532608396,0.8634990711860304,0.577492715128595,0.5999157361998195,0.5863721643482047,0.6973833656912704,0.8781614168689914,1.0149524309978297
Diatoms,LSTM_KAN,trial_0004,grid,30,1,256,0.0,0.002,64,0.0,,,64,5,3,6,0.21728225841241725,0.27443091642288936,0.9661181649835525,0.65796262352543,0.5032523040397089,0.4770093004673206,0.8204327459969026,0.9776786573058148,1.1002430916479402
Diatoms,LSTM_KAN,trial_0005,grid,30,2,256,0.0,0.001,64,0.0,,,64,3,3,14,0.15271073981320363,0.22627205366180056,0.9204827493895741,0.5783872414505897,0.5497903026387281,0.49790290950674904,0.7903472212622187,0.9306338064160119,1.0404672204904917
Diatoms,LSTM_KAN,trial_0006,grid,30,2,256,0.0,0.002,64,0.0,,,64,3,3,9,0.170053932622436,0.2186700098571323,0.8958214171498845,0.5626760470232863,0.5721446690013716,0.5200421817659725,0.7489684239413195,0.9147190865894484,1.0237767409188856
Diatoms,LSTM_KAN,trial_0007,grid,30,2,256,0.0,0.001,64,0.0,,,64,5,3,9,0.1948681027857284,0.2482903330099015,0.9495091081842734,0.606163804683844,0.5213144833652161,0.4463184759525203,0.8202743599608077,0.9583361004417993,1.0699168641502133
Diatoms,LSTM_KAN,trial_0008,grid,30,2,256,0.0,0.002,64,0.0,,,64,5,3,9,0.16123899814888681,0.23142563303311667,0.9347266197948688,0.5779990989601268,0.5344645181672417,0.4700187973952228,0.7850486677575772,0.9530901977738527,1.066040993853177
Diatoms,LSTM_KAN,trial_0001,baseline,30,2,256,0.1,0.002,32,0.0001,,,64,5,2,7,0.19554984198309558,0.21634080354124308,0.8645491837334797,0.5563678857759708,0.5980631082218361,0.5903942816857056,0.688211761305737,0.8843067344826028,1.0211290554120989
Diatoms,LSTM_KAN,trial_0002,num_layers,30,1,256,0.1,0.002,32,0.0001,,,64,5,2,8,0.18515041805674873,0.21105721819081477,0.8563222879784437,0.5430703498635111,0.6043167689413129,0.6006578059213874,0.6679491592124047,0.8809742969143259,1.0200434078086003
Diatoms,LSTM_KAN,trial_0003,num_layers,30,3,256,0.1,0.002,32,0.0001,,,64,5,2,9,0.2306831830461545,0.2022584889616285,0.8476001139487472,0.5503692765200761,0.6206632399883539,0.5715935134201101,0.7687634751038679,0.8489714076707771,0.9250654590715967
Diatoms,LSTM_KAN,trial_0004,num_layers,30,4,256,0.1,0.002,32,0.0001,,,64,5,2,16,0.17622536771437702,0.23569093378526823,0.9168987153062697,0.5945494333591324,0.5552606515489188,0.5614145227278485,0.8199700307660399,0.9135280417106062,1.0171980734421633
Diatoms,LSTM_KAN,trial_0005,hidden_dim,30,3,64,0.1,0.002,32,0.0001,,,64,5,2,7,0.2126034726114834,0.25416627153754234,0.931859945327529,0.6298631743074218,0.5399711935675919,0.5697178054591768,0.8188821866770971,0.9392847657389063,1.037412883566584
Diatoms,LSTM_KAN,trial_0006,hidden_dim,30,3,128,0.1,0.002,32,0.0001,,,64,5,2,7,0.21218924807017236,0.2213168063954938,0.8809770632226109,0.5755149569262815,0.5872506019487131,0.5937183484777929,0.7512471624665509,0.8926897967935425,0.9989942304077396
Diatoms,LSTM_KAN,trial_0007,hidden_dim,30,3,384,0.1,0.002,32,0.0001,,,64,5,2,8,0.21248432137974405,0.22052709687323796,0.8821554524996472,0.5865186829952315,0.5833106835824579,0.5856120553846252,0.7222079372076027,0.8932584239060096,1.0309999963853291
Diatoms,LSTM_KAN,trial_0008,kan_hidden_dim,30,3,256,0.1,0.002,32,0.0001,,,32,5,2,7,0.2169946296250119,0.20993428189484847,0.8664158731997835,0.572161236602411,0.5977024100273506,0.5911995816896353,0.7049306864130327,0.8798331458385208,1.014483787347797
Diatoms,LSTM_KAN,trial_0009,kan_hidden_dim,30,3,256,0.1,0.002,32,0.0001,,,128,5,2,7,0.21069527126101062,0.21304570262630781,0.8557516518109768,0.5688593544467823,0.6090240977542123,0.6197656195205018,0.7130449104607548,0.8649605747070755,0.9892494702651
Diatoms,LSTM_KAN,trial_0010,grid_size,30,3,256,0.1,0.002,32,0.0001,,,64,3,2,7,0.21305706859872414,0.218896972458987,0.8669787192601729,0.5746193349742508,0.5989168988269834,0.6138999971766818,0.7265341974728863,0.8722369658315717,1.0021649944760607
Diatoms,LSTM_KAN,trial_0011,grid_size,30,3,256,0.1,0.002,32,0.0001,,,64,7,2,15,0.1888177167482442,0.2988360483376753,0.9924442928209204,0.6836505866456966,0.48051905800747957,0.4588171483115273,0.912107593139692,0.9905992875166153,1.074625997806454
Diatoms,LSTM_KAN,trial_0012,spline_order,30,3,256,0.1,0.002,32,0.0001,,,64,5,3,16,0.23160298574702962,0.2164375717707333,0.8809202505224034,0.5512745660613846,0.5884199237499845,0.5850172216434343,0.7658672584991643,0.8918113025475602,0.985082190520486
Diatoms,LSTM_KAN,trial_0013,lr,30,3,256,0.1,0.0005,32,0.0001,,,64,5,2,13,0.21654320496640403,0.2698770933562801,0.9727455855094084,0.6896317480171795,0.49996513785889984,0.42505631106887964,0.8737849978631338,0.978174615729192,1.0662771429358997
Diatoms,LSTM_KAN,trial_0014,lr,30,3,256,0.1,0.001,32,0.0001,,,64,5,2,7,0.21644994691272096,0.2289462290438158,0.8726583036938317,0.5802365072361336,0.5937362024941183,0.6177881373183483,0.729631364637613,0.8840690467578853,1.004274499685997
Diatoms,LSTM_KAN,trial_0015,lr,30,3,256,0.1,0.003,32,0.0001,,,64,5,2,37,0.21899571071240317,0.2740292014288051,0.9499724292296166,0.6258323768667396,0.5209749734648131,0.5820152557346483,0.8228883166347819,0.9572311308485828,1.069797840205485
Diatoms,LSTM_KAN,trial_0016,dropout,30,3,256,0.0,0.002,32,0.0001,,,64,5,2,7,0.21646188173739556,0.21735805175488904,0.872548618698841,0.5811281776880306,0.5912542171919012,0.6028344373094744,0.7022645647613968,0.8881084155159077,1.0272728758192182
Diatoms,LSTM_KAN,trial_0017,dropout,30,3,256,0.2,0.002,32,0.0001,,,64,5,2,8,0.20681067151388083,0.2199382677319504,0.8972846021430873,0.5935461889070192,0.5720037257573366,0.545856843340277,0.7696250431259433,0.9035572947568594,1.0186714685464588
Diatoms,LSTM_KAN,trial_0018,batch_size,30,3,256,0.1,0.002,64,0.0001,,,64,5,2,10,0.28187324039663825,0.34361231327056885,1.1119585576078825,0.7363690105823603,0.3494963595002812,0.28780755703523403,1.0561879313774105,1.1113101788087927,1.1683775626374442
Diatoms,LSTM_KAN,trial_0019,weight_decay,30,3,256,0.1,0.002,32,0.0,,,64,5,2,10,0.19080029263009662,0.2439208066179639,0.9115731656739464,0.635232916788056,0.5580551932016049,0.5998734097325606,0.7803597103531233,0.9158670151354987,1.0384927715332173
