target,model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3
Algae_Sum,LSTM_KAN,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,,,64,5,3,5,0.36172698010210347,0.389595695904323,0.3848857107963169,0.3061929966358077,0.06839170691738745,0.3672496871402162,0.29508771721859317,0.3876076429447698,0.4719617722255877
Algae_Sum,LSTM_KAN,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,,,64,5,3,4,0.37138599745130046,0.36332623447690693,0.3773421612238567,0.29815718352420645,0.12134463993627893,0.3257276602324112,0.3169978343750319,0.3824144821599432,0.4326141671365951
Algae_Sum,LSTM_KAN,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,,,64,5,3,4,0.36960584203677194,0.3810482763108753,0.3856333610057319,0.30646621026173515,0.08580839576980655,0.3564547954405901,0.3330258466990176,0.38836337801311666,0.4355108583050616
Algae_Sum,LSTM_KAN,trial_0004,hidden_dim,30,2,128,0.0,0.002,64,0.0,,,64,5,3,5,0.3616920781795541,0.3975314980461484,0.38743057097456957,0.3152222660405927,0.07395926283670984,0.3617593511894584,0.32589316170986676,0.3927552017477319,0.44364334946611006
Algae_Sum,LSTM_KAN,trial_0005,kan_hidden_dim,30,2,256,0.0,0.002,64,0.0,,,32,5,3,4,0.3757245194128228,0.31942117781866164,0.3528934245562836,0.28142857244663766,0.22751105858092943,0.42530891684233757,0.2865971497793328,0.3606075503799027,0.4114755735096151
Algae_Sum,LSTM_KAN,trial_0006,kan_hidden_dim,30,2,256,0.0,0.002,64,0.0,,,128,5,3,4,0.3759052775104153,0.32342093473389033,0.35946929269903566,0.28169683190856065,0.2026374806389728,0.37712148163554254,0.3021290100304475,0.3641260802829953,0.41215278778366427
Algae_Sum,LSTM_KAN,trial_0007,grid_size,30,2,256,0.0,0.002,64,0.0,,,32,3,3,4,0.3890424871939689,0.3311771693683806,0.3632089771019875,0.2869118386044544,0.18702543911121872,0.4138011212644684,0.3080474856252137,0.3671869632457823,0.4143924824349664
Algae_Sum,LSTM_KAN,trial_0008,grid_size,30,2,256,0.0,0.002,64,0.0,,,32,7,3,4,0.3828988083506126,0.37561939585776555,0.38190260553508576,0.304909569253886,0.09901281076670343,0.37873301991367575,0.31996589135704273,0.38461302284008875,0.4411289024081257
Algae_Sum,LSTM_KAN,trial_0009,spline_order,30,2,256,0.0,0.002,64,0.0,,,32,5,2,4,0.3756755011923173,0.3385000086966015,0.35958667175344283,0.29088183869629414,0.19673931866815444,0.42620267081458135,0.2895790470488486,0.36784514511149397,0.42133582309998585
Algae_Sum,LSTM_KAN,trial_0010,lr,30,2,256,0.0,0.001,64,0.0,,,32,5,3,4,0.44480178512916435,0.39337282805215745,0.38671809383175204,0.31459952431479604,0.08400098310519855,0.19492939978288573,0.3416406554943122,0.3920484227744402,0.4264652032265037
Algae_Sum,LSTM_KAN,trial_0011,lr,30,2,256,0.0,0.003,64,0.0,,,32,5,3,4,0.38600399883973147,0.3205042282740275,0.35974518796512456,0.28352866033846075,0.20207943791427962,0.37815109874364644,0.30481158200338065,0.36245999083839175,0.4119639910536014
Algae_Sum,LSTM_KAN,trial_0012,dropout,30,2,256,0.1,0.002,64,0.0,,,32,5,3,4,0.3805118136133702,0.31538787484169006,0.3546645463800202,0.27894605568544734,0.2212094648482923,0.44601785455643733,0.29171638254580945,0.36082078280496854,0.4114564737892826
Algae_Sum,LSTM_KAN,trial_0013,dropout,30,2,256,0.2,0.002,64,0.0,,,32,5,3,4,0.3826025163426119,0.3614171530519213,0.37508874059514014,0.29927191645759615,0.13084101784986688,0.35657938889012586,0.31251314102358657,0.381313132345724,0.4314399484161097
Algae_Sum,LSTM_KAN,trial_0014,batch_size,30,2,256,0.0,0.002,32,0.0,,,32,5,3,2,0.4423249716577233,0.31212208952222553,0.3558237699273524,0.27659711293157097,0.21487216013495536,0.4305211138808851,0.29022055922200635,0.3618685520133491,0.4153821985467017
Algae_Sum,LSTM_KAN,trial_0015,weight_decay,30,2,256,0.0,0.002,64,0.0001,,,32,5,3,4,0.38256336702195004,0.32269640337853206,0.3555036816051735,0.28324113799557843,0.21602928602490748,0.43192286338506375,0.2894753582749802,0.36149857433927113,0.4155371122012691
Algae_Sum,LSTM_KAN,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,,,64,5,3,4,0.3662851476545565,0.32805069429533823,0.35192015197125565,0.2804950028865079,0.22504264089824463,0.3768793827237244,0.27292513798498963,0.36117666165980933,0.4216586562689681
Algae_Sum,LSTM_KAN,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,,,64,5,3,3,0.3953419694335403,0.3610958655675252,0.3749546990527455,0.30019850605787507,0.12672158801289857,0.45582541447287556,0.30312579494286834,0.38134961089032066,0.4403886913250474
Algae_Sum,LSTM_KAN,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,,,64,5,3,2,0.50846549095167,0.3318875673271361,0.36711782881562743,0.2823972552960646,0.16611500473497418,0.4602238546708393,0.30345697158725143,0.3726665151147474,0.4252299997448834
Algae_Sum,LSTM_KAN,trial_0004,hidden_dim,30,1,128,0.0,0.002,64,0.0,,,64,5,3,4,0.3808761860878822,0.34314011392139254,0.3583018529348478,0.2881549204673455,0.20220865932181398,0.35704483525955527,0.28736760837983527,0.36817033456644327,0.4193676158582649
Algae_Sum,LSTM_KAN,trial_0005,kan_hidden_dim,30,1,256,0.0,0.002,64,0.0,,,32,5,3,2,0.5245211132669944,0.3452852708952768,0.367158916866068,0.28963480137586006,0.1717276916633604,0.33994277788236954,0.3159995344462694,0.37456924162802263,0.4109079745239119
Algae_Sum,LSTM_KAN,trial_0006,kan_hidden_dim,30,1,256,0.0,0.002,64,0.0,,,128,5,3,4,0.3603451313856976,0.338490625222524,0.3579880275839917,0.2863516055150581,0.19719944526577168,0.3833512962156938,0.27674114299938773,0.3661245512353478,0.4310983885172394
Algae_Sum,LSTM_KAN,trial_0007,grid_size,30,1,256,0.0,0.002,64,0.0,,,64,3,3,2,0.5121768160262322,0.3337840551421756,0.36294798094616326,0.2839314331103049,0.1906831738401696,0.35899648838660747,0.31352699939063083,0.3680063176463251,0.4073106258015339
Algae_Sum,LSTM_KAN,trial_0008,grid_size,30,1,256,0.0,0.002,64,0.0,,,64,7,3,4,0.3704465288398175,0.3418370882670085,0.35692229566002753,0.28832878568296755,0.2047442752075228,0.3811082949414035,0.2803537483492171,0.36542630504330365,0.42498683358756195
Algae_Sum,LSTM_KAN,trial_0009,spline_order,30,1,256,0.0,0.002,64,0.0,,,64,5,2,4,0.3700343533370734,0.320571984563555,0.3484195392159546,0.27767219616324756,0.242462056668763,0.37298450199127514,0.2740505864250622,0.3569935878396432,0.4142144433831583
Algae_Sum,LSTM_KAN,trial_0010,lr,30,1,256,0.0,0.001,64,0.0,,,64,5,2,7,0.3536059724933961,0.35677777585529147,0.376412151118106,0.28898590704809607,0.11854857164054204,0.3782048244667971,0.3007762353428647,0.3853338236512387,0.44312639436021456
Algae_Sum,LSTM_KAN,trial_0011,lr,30,1,256,0.0,0.003,64,0.0,,,64,5,2,4,0.36859666383390194,0.3402195132914044,0.3585547929967859,0.2859913678023234,0.19103280266573064,0.41541336383480476,0.27069315605664146,0.3687324336024567,0.4362387893312596
Algae_Sum,LSTM_KAN,trial_0012,dropout,30,1,256,0.1,0.002,64,0.0,,,64,5,2,4,0.36611541486941407,0.3269361513001578,0.35188716197379327,0.2801439516131364,0.226055811289683,0.3804092930109902,0.27436617495154736,0.36113180725203164,0.42016350371780065
Algae_Sum,LSTM_KAN,trial_0013,dropout,30,1,256,0.2,0.002,64,0.0,,,64,5,2,4,0.3747385628908151,0.3398310031209673,0.3593558427181871,0.2860052806344846,0.19510677656246478,0.3597503731308098,0.28415311017628264,0.3685371813620913,0.4253772366161873
Algae_Sum,LSTM_KAN,trial_0014,batch_size,30,1,256,0.0,0.002,32,0.0,,,64,5,2,2,0.4192347398678737,0.3049113154411316,0.3486517324014513,0.2689202729574623,0.2399245504775763,0.44416009289913716,0.2717455476361265,0.3568515387630101,0.41735811080521745
Algae_Sum,LSTM_KAN,trial_0015,weight_decay,30,1,256,0.0,0.002,64,0.0001,,,64,5,2,4,0.3724517000381509,0.35137536837941125,0.36332355259474386,0.2934679687360302,0.17666334655778937,0.334274300123856,0.28682271103734047,0.371399073181328,0.43174887356556313
