target,model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3
Diatoms,LSTM_MLP,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,1,64,,,,10,0.1915281565028491,0.27995952325207846,0.9950325348550374,0.6799273454604559,0.4757608070335599,0.40951433394115444,0.8786278462031234,1.001547465406117,1.1049222929558722
Diatoms,LSTM_MLP,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,1,64,,,,9,0.1781839579859407,0.2716148630494163,0.9829869855856611,0.621903231274676,0.48311157121914333,0.43625455376762856,0.8030101631865263,1.011197420379756,1.1347533731907011
Diatoms,LSTM_MLP,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,1,64,,,,7,0.2130890878942186,0.31954612192653475,1.0382595211978565,0.7339942967025862,0.42902508545298085,0.4385818015203317,0.9142558149608069,1.0451506351903501,1.1553721134424126
Diatoms,LSTM_MLP,trial_0004,hidden_dim,30,2,128,0.0,0.002,64,0.0,1,64,,,,7,0.21368632535208468,0.3232621621517908,1.0251182376396117,0.7149094114806078,0.4445195417170907,0.5135149820774001,0.9182785135408497,1.0315165225267253,1.1255596768512601
Diatoms,LSTM_MLP,trial_0005,mlp_num_layers,30,2,256,0.0,0.002,64,0.0,2,64,,,,11,0.25637349898839906,0.40076340096337454,1.0674813059632398,0.8739709578048059,0.3998109705770967,0.37492647391654316,1.006938427064153,1.0484969437452065,1.1470085470803597
Diatoms,LSTM_MLP,trial_0006,mlp_hidden_dim,30,2,256,0.0,0.002,64,0.0,1,32,,,,23,0.08223549289480625,0.2772676000992457,0.9836927136238046,0.6736120188077604,0.48514970731649343,0.4783760732222236,0.838428052017147,0.9915598343957366,1.1210902544585302
Diatoms,LSTM_MLP,trial_0007,mlp_hidden_dim,30,2,256,0.0,0.002,64,0.0,1,128,,,,7,0.1956688510608508,0.27236027235076543,0.9524087376073317,0.6607118000180173,0.5140508354459552,0.4955457232917439,0.7715321115338406,0.9797386778804722,1.105955423407682
Diatoms,LSTM_MLP,trial_0008,lr,30,2,256,0.0,0.001,64,0.0,1,128,,,,15,0.1727914638482163,0.33347200850645703,1.033009995142528,0.7196465063963844,0.43144477533675496,0.45659378180302596,0.8732669591266009,1.0400958126587385,1.1856672136422446
Diatoms,LSTM_MLP,trial_0009,lr,30,2,256,0.0,0.003,64,0.0,1,128,,,,7,0.19699887884941894,0.2490853787887664,0.9098529020935366,0.6014283841359397,0.5550832399879161,0.6216611373022647,0.7266088456774009,0.9300597617123004,1.0728900988909083
Diatoms,LSTM_MLP,trial_0010,dropout,30,2,256,0.1,0.003,64,0.0,1,128,,,,5,0.21995854555632416,0.26010889737378984,0.9287851822186495,0.6214312114685261,0.5357688956815662,0.5490570386619157,0.7381014424656491,0.9460198042891186,1.102234299901181
Diatoms,LSTM_MLP,trial_0011,dropout,30,2,256,0.2,0.003,64,0.0,1,128,,,,5,0.23201441455464875,0.2578614474762054,0.9445087230047063,0.6268459476507293,0.5230783887741937,0.5278577702361417,0.7791231452332225,0.958925425053959,1.0954775987269374
Diatoms,LSTM_MLP,trial_0012,batch_size,30,2,256,0.0,0.003,32,0.0,1,128,,,,7,0.20265857333955467,0.2820979781626236,0.944881542433154,0.6104028522444267,0.5201500426472713,0.6339082498463732,0.7582333205169568,0.9567026736260099,1.1197086331564954
Diatoms,LSTM_MLP,trial_0013,weight_decay,30,2,256,0.0,0.003,64,0.0001,1,128,,,,10,0.18373987032261688,0.23581303159395853,0.9112776918438042,0.6018333727148871,0.5579695539355995,0.5176115207958173,0.7697402532033161,0.9305482743394011,1.0335445479886958
