date,Green_Algae,Bluegreen_Algae,Diatoms,Cryptophyta,Algae_Total,DO,pH,Turbidity,Conductivity,WTemperature,windspeed,ATemperature,max_TEM,min_TEM,humidity,precipitation,NOX,NH4,DIN,DIP,TN,TP,NPR
2020/9/28,3.191853729,2.996582187,1.251955105,0.192404055,7.623931933,6.796174511,7.351993483,74.24243881,118.4333273,25.94884866,1.2,23.2,25.4,21.8,97,0.1,1.789,0.068,1.858,0.022,2.062,0.027,84.4545454545455
2020/9/29,3.083041274,2.927096307,1.280601014,0.132679218,7.415068791,6.939797248,7.357042723,74.24243881,124.2089689,26.007958,1.5,25.4,29.6,22.7,87.8,0.1,1.785,0.067,1.851,0.039,1.952,0.046,47.4615384615385
2020/9/30,3.234811594,2.813152174,1.222637681,0.226318841,7.489231884,6.967365942,7.399246377,65.65111594,128.3275333,25.44127536,1.3,23.4,25.9,21.9,98.5,10.5,1.739,0.092,1.831,0.033,1.992,0.039,55.4848484848485
2020/10/1,3.67076756,2.475213613,1.445756698,0.317212165,7.904337437,7.177539464,7.407875453,57.33435844,137.860761,26.04386676,1.8,25,29.7,21.4,76.3,10.3888888888889,1.708,0.051,1.76,0.029,1.835,0.036,60.6896551724138
2020/10/2,3.342983345,2.086212889,1.167986966,0.150347574,6.742396814,7.300926865,7.411314989,47.00995076,141.7921912,25.93287473,1,26.2,30.9,23,74.5,10.2777777777778,1.788,0.06,1.848,0.032,1.969,0.034,57.75
2020/10/3,6.374833333,2.096050725,1.33673913,0.975623188,10.78163043,7.659823188,7.62667971,43.58056014,141.2616304,26.50378986,1.7,26.5,33,22.4,84.5,10.1666666666667,1.751,0.079,1.83,0.03,2.033,0.038,61
2020/10/4,8.112635771,2.169913106,1.181542361,1.442280956,12.90523534,7.771795076,7.701812455,44.03330992,146.4732889,26.78707458,2.1,27.9,33.9,23.5,80.8,10.0555555555556,1.716,0.079,1.795,0.03,2.106,0.037,59.8333333333333
2020/10/5,8.920622287,2.309167873,1.213089725,3.21260492,15.65427641,7.724676556,7.656107815,43.10355789,152.0978698,26.42971056,1.7,26.5,28.4,25.7,78,9.94444444444444,1.642,0.021,1.664,0.024,1.875,0.035,69.3333333333333
2020/10/6,9.889775687,2.059645441,1.391729378,2.961729378,16.30229378,7.796972504,7.697096237,42.38011433,155.9172496,26.59562952,2,24.9,27.5,22.9,64.3,9.83333333333333,1.555,0.051,1.606,0.013,1.722,0.03,123.538461538462
2020/10/7,8.426751085,1.91841534,1.031063676,3.327785818,14.70364689,7.54101013,7.672941389,42.09704559,151.49072,26.23698263,1.8,24.5,28,20.8,62.3,9.72222222222222,1.597,0.059,1.655,0.028,1.794,0.038,59.1071428571429
2020/10/8,5.952836469,2.334052098,1.501490593,1.201447178,10.98897974,7.224054269,7.634350217,43.87165051,148.6109363,26.2432055,1.4,25.5,29.6,21.5,58.5,9.61111111111111,1.6,0.057,1.658,0.027,1.862,0.053,61.4074074074074
2020/10/9,7.055629522,2.118994211,1.659703329,2.140513748,12.97431983,7.655609262,7.754741679,35.42506223,149.8336614,26.19232996,1.8,24.7,30.1,20.3,60.8,9.5,1.593,0.035,1.628,0.013,1.89,0.058,125.230769230769
2020/10/10,6.500238784,2.170101302,2.278813314,2.29133864,13.24068017,7.65331259,7.751918234,38.29227135,154.0286107,26.05518813,1.6,24.5,29.7,20,62.8,9.38888888888889,1.598,0.04,1.638,0.022,1.78,0.036,74.4545454545455
2020/10/11,10.1267777,1.847813179,2.625916003,5.460782042,20.06029689,8.257879073,7.897879797,34.68736857,160.5903012,26.24550326,1.4,24.6,30.6,18.9,75.5,9.27777777777778,1.683,0.089,1.772,0.031,1.814,0.039,57.1612903225806
2020/10/12,7.910955829,2.024547429,3.520260681,4.425416365,17.88018827,8.343996379,7.854103548,28.58590297,162.5507335,26.38921072,1.5,25.3,30.4,21.5,82,9.16666666666667,1.665,0.077,1.741,0.023,1.955,0.044,75.695652173913
2020/10/13,4.818573497,2.196951484,3.238175235,1.607422158,11.86083273,7.93115134,7.81843302,20.03160174,166.5277951,26.15174511,1.7,26.3,28.6,24.3,65.3,9.05555555555556,1.619,0.048,1.666,0.023,2.088,0.043,72.4347826086957
2020/10/14,4.650311369,2.502150615,3.557516293,0.784475018,11.49464156,7.922757422,7.84339609,24.13004924,168.7388479,26.45732078,1.7,26.2,30.6,23.3,65.3,8.94444444444444,1.658,0.06,1.718,0.025,1.875,0.041,68.72
2020/10/15,8.703830558,3.12249819,4.457675597,4.289348298,20.5738378,8.167085445,7.898809558,29.91436278,165.4467922,26.1188559,1.6,24.5,27.2,22,64.8,8.83333333333333,1.678,0.071,1.749,0.026,1.914,0.039,67.2692307692308
2020/10/16,11.5841113,1.967084718,3.761325127,4.399927589,29.20559801,8.418650332,8.059872093,25.89763123,162.8518347,26.1848505,1.6,25.1,27.7,23.4,66,8.72222222222222,1.641,0.042,1.683,0.016,1.848,0.036,105.1875
2020/10/17,7.195539464,1.683540912,3.064974656,4.510506879,16.45325851,7.675966691,7.783194062,30.82934033,160.9114337,26.08561188,1.8,24.8,27.1,23.2,64.5,8.61111111111111,1.634,0.038,1.672,0.019,1.799,0.033,88
2020/10/18,3.303736423,2.149427951,1.676994931,1.075199131,8.205401883,7.058961622,7.558518465,32.39226358,159.4916206,26.064895,2,25.1,29,21.6,56.8,8.5,1.62,0.054,1.674,0.022,1.823,0.035,76.0909090909091
2020/10/19,4.809486252,2.160180897,2.095130246,2.52459479,11.589233,7.191072359,7.532486975,36.99913169,156.8650738,25.86449349,1.7,24.3,27.5,21,60.5,8.38888888888889,1.586,0.068,1.653,0.015,1.829,0.035,110.2
2020/10/20,7.047409551,2.180108538,2.582583213,3.625470333,15.43407381,7.631019537,7.658769175,36.92921418,154.2326411,25.91570912,2.1,24.6,28.4,20.6,61.3,8.27777777777778,1.62,0.066,1.685,0.025,1.788,0.035,67.4
2020/10/21,5.684442836,2.672749638,2.441787265,1.905832127,12.70489146,7.425448625,7.645372648,34.00102967,153.0031946,25.6489725,1.9,24.9,29.9,21.9,62.5,8.16666666666667,1.593,0.036,1.629,0.015,1.813,0.032,108.6
2020/10/22,5.709088278,2.216085384,2.833560058,2.40024602,13.15922576,7.34341534,7.692712735,34.63850072,160.5425745,25.55505065,2.5,24.2,26.1,23.1,63.3,8.05555555555556,1.622,0.097,1.72,0.02,1.887,0.03,86
2020/10/23,3.719855177,1.710412744,2.014134685,1.488544533,8.932092686,6.954149891,7.633267198,32.52780811,166.0350471,25.20605358,1.5,22,25.5,18.4,50.5,7.94444444444444,1.577,0.05,1.627,0.017,1.754,0.035,95.7058823529412
2020/10/24,3.581997106,1.59406657,2.228154848,1.177662808,8.581591896,6.507660637,7.633541245,29.39913242,168.3684088,24.93535456,2.2,22.1,26.4,18.3,49.5,7.83333333333333,1.557,0.082,1.638,0.02,1.857,0.029,81.9
2020/10/25,3.20841534,1.49077424,1.585188133,0.905166425,7.188632417,6.473087554,7.610120839,28.82764544,168.2406744,24.86968886,1.6,23.3,29,18.5,51.8,7.72222222222222,1.507,0.037,1.544,0.01,1.751,0.03,154.4
2020/10/26,4.331716148,1.585930485,1.8335916,1.392483707,9.143852281,6.808150615,7.751530775,27.58832368,168.8367292,24.64132513,1.3,23.4,29.9,18,66.3,7.61111111111111,1.564,0.075,1.639,0.018,1.667,0.025,91.0555555555556
2020/10/27,4.88025,2.397991379,1.516793103,1.442568966,10.23743103,6.63465431,7.683626724,27.29366379,174.6945216,24.26185345,2.3,24.4,30.6,19.4,66.5,7.5,1.573,0.067,1.641,0.016,1.784,0.025,102.5625
2020/10/28,8.170506512,2.785,1.632843705,2.931903039,15.51982634,7.18208466,7.890882779,31.16637192,184.5802974,24.48526773,1.1,24.8,30.1,20.4,65.8,7.38888888888889,1.611,0.079,1.69,0.014,1.822,0.024,120.714285714286
2020/10/29,11.72567216,1.919887251,2.244111015,4.774588031,20.66452732,7.625529055,7.938998265,28.54175195,187.1212576,24.5320902,2.1,23.3,26.1,21.6,69,7.27777777777778,1.666,0.066,1.732,0.013,1.998,0.025,133.230769230769
2020/10/30,12.17853005,0.916589428,2.37543105,6.413555395,24.25009413,7.660881245,7.85515134,27.56994569,190.9545091,24.53,1.5,22.4,24.8,21.1,68.3,7.16666666666667,1.78,0.067,1.847,0.018,1.948,0.024,102.611111111111
2020/10/31,6.110086831,1.392735166,2.506751085,2.063502171,12.07289436,6.791289436,7.62737699,34.38131114,195.3809378,24.43922576,1.3,21.3,27.5,17.2,59.8,7.05555555555556,1.797,0.063,1.86,0.01,2.134,0.033,186
2020/11/1,7.47802439,1.324463415,3.038081301,2.981504065,14.82021951,6.852642276,7.714068293,36.99719106,194.243565,24.35060163,1,22.7,29.3,17.3,65.3,6.94444444444444,1.633,0.101,1.735,0.011,2.184,0.03,157.727272727273
2020/11/2,7.033280232,1.420731354,2.848247647,2.489826213,13.78952209,6.969698045,7.7913874,35.25383925,192.6364584,24.49464881,1.8,23.9,30,18.9,72,6.83333333333333,1.745,0.052,1.797,0.017,1.974,0.028,105.705882352941
