,missing_count,missing_ratio_%,mean,std,min,25%,50%_median,75%,max,skewness,mode,outlier_count,outlier_ratio_%,iqr_lower,iqr_upper
Green_Algae,0,0.0,2.9021980537603063,3.0631333870438517,8.01e-06,0.43823749725,1.951092945,4.32068514675,14.25927589,1.2866,0.01,60,3.53,-5.385433977,10.144356621
Cyanobacteria,0,0.0,2.2107103711042404,1.3164733222722644,0.01,1.2341365415,1.919874835,2.93622564975,6.866914705,0.8657,0.01,35,2.06,-1.3189971208749995,5.489359312125
Diatoms,0,0.0,1.0215664591993154,0.9806962060178022,1.02e-05,0.199894306,0.7256980592586204,1.54449348725,4.457675597,1.0632,0.01,33,1.94,-1.8170044658749998,3.561392259125
Cryptophyta,0,0.0,2.246743033101296,1.9291418030720973,0.002745098,0.625432355,1.9592063450000001,3.2472566165,9.552635181,1.0428,0.01,39,2.3,-3.3073040372499998,7.1799930087499995
Algae_Total,0,0.0,8.773741314979977,5.435956815489619,1.452230268,4.74506634075,7.319610861999999,11.4208505275,31.96731761,1.3314,1.452230268,68,4.0,-5.2686099393750006,21.434526807625
DO,0,0.0,7.224300534234393,1.3566851784523315,3.094925534,6.35410207575,7.0448544845,7.96620136025,11.55466667,0.5809,3.094925534,52,3.06,3.935953149,10.384350287
pH,0,0.0,7.245240775113074,0.6223527119133387,6.08,6.7554166667499995,7.1303217409999995,7.6553581965,8.922968162,0.602,6.545,0,0.0,5.405504372124999,9.005270491125
Turbidity,0,0.0,24.180540407657244,13.981335333509758,1.663161477,15.37375904,19.973548355,28.32304558203125,79.52081259,1.6349,74.24243881,137,8.07,-4.050170773046876,47.746975395078124
Conductivity,0,0.0,205.56502583250884,63.88681520285783,46.66666667,152.81405682500002,203.41818575000002,260.0,378.3333333,0.0689,116.6666667,0,0.0,-7.964857937499943,420.7789147625
WT,0,0.0,24.075662850588927,5.054460093811156,14.31327062,19.586981825,24.124889404999998,28.5073140225,33.98064218,0.0137,14.31327062,0,0.0,6.206483528749995,41.88781231875001
windspeed,0,0.0,1.59760898969788,0.44978208770863176,0.6,1.256425,1.52,1.9,3.4,0.566,1.6,14,0.82,0.2910624999999999,2.8653625
AT,0,0.0,21.275539888103648,6.010199876559635,2.80418,16.71,21.908775,25.844392499999998,33.13,-0.3345,29.6,1,0.06,3.0084112500000053,39.54598125
max_TEM,0,0.0,25.221180834204947,6.307954282113608,5.9826,20.329925,25.73395,30.070675,40.1,-0.2874,30.0,0,0.0,5.718799999999996,44.6818
min_TEM,0,0.0,18.12675777385159,6.774797524883803,-1.3107,13.7532,18.85815,22.764375,32.6,-0.3998,19.4,5,0.29,0.2364374999999974,36.2811375
humidity,0,0.0,72.90290799355124,10.807473354258219,36.79,66.0,72.5,79.952615,98.71,-0.0439,75.3,2,0.12,45.07107750000001,100.88153749999998
precipitation,0,0.0,4.952616243083945,5.713340028810384,0.0107,0.6583159090909088,2.670833333333335,7.386741666666667,26.9,1.5686,0.1,85,5.01,-9.434322727272729,17.479380303030304
NOX,0,0.0,1.8523275143816254,0.4106844474305245,0.231,1.6102500000000002,1.83,2.091,3.123,-0.0666,2.041,48,2.83,0.8891250000000002,2.812125
NH4,0,0.0,0.11735928423792698,0.0755095690766497,0.001,0.06525,0.104,0.152,0.448,1.2553,0.084,72,4.24,-0.06487499999999999,0.28212499999999996
DIN,0,0.0,1.9701954488256772,0.4360310590731916,0.342,1.6997500000000025,1.93025,2.22575,3.293,0.0903,2.112,43,2.53,0.9107500000000062,3.0147499999999967
DIP,0,0.0,0.026116614789163724,0.016924767891334118,0.001,0.014,0.023,0.034,0.096,1.1175,0.022,63,3.71,-0.016000000000000007,0.064
TN,0,0.0,2.305964958775029,0.4565052888198363,0.444,2.0015,2.334,2.587,3.737,-0.0128,2.605,21,1.24,1.1232499999999999,3.46525
TP,0,0.0,0.05728504122497056,0.02424764419950306,0.001,0.04,0.05275,0.074,0.143,0.6218,0.046,19,1.12,-0.010999999999999989,0.12499999999999999
NPR,0,0.0,132.16881834508172,156.38036137602515,8.97560975609756,55.88497340425533,80.57499999999999,135.93504901960776,1964.0,4.5932,60.0,192,11.31,-64.19014001877332,256.0101624426364
Algae_Sum,0,0.0,8.381217917165158,4.748332048473898,0.057303241,4.98857272,7.1510644464999995,10.782903306,25.989393893,1.066,0.057303241,59,3.47,-3.702923159,19.474399185
Algae_diff,0,0.0,0.39252339781481893,2.209135331073392,-6.195749881999999,-0.01124272124999992,-0.0020107710000003554,0.2770189222499999,20.698771657,3.7934,-0.009999999999999787,565,33.27,-0.44363518649999967,0.7094113874999997
