,Green_Algae,Cyanobacteria,Diatoms,Cryptophyta,Algae_Sum,WT,DO,pH,TN,TP
Green_Algae,1.0,-0.1562040110077144,0.340371253908479,0.038460109202778314,0.6507701713798445,0.15722818808403374,0.026554917046841806,0.6021060953961022,-0.08983974594653354,-0.31305553145467324
Cyanobacteria,-0.1562040110077144,1.0,0.11398789538036862,0.01586264750140457,0.31300364619157217,0.36243724313808545,-0.08043138802576615,-0.10714059022984788,-0.19964600211401673,0.015202106636231144
Diatoms,0.340371253908479,0.11398789538036862,1.0,0.09138076222090537,0.5844097542181268,-0.12510913651035366,0.18025090578481745,0.5434080511996692,0.04597678755952427,-0.355207180645156
Cryptophyta,0.038460109202778314,0.01586264750140457,0.09138076222090537,1.0,0.5533124445028255,-0.09857810322455626,0.43771541925572194,-0.2185719108954273,0.14603299213362547,0.1062161121807442
Algae_Sum,0.6507701713798445,0.31300364619157217,0.5844097542181268,0.5533124445028255,1.0,0.1620653428445768,0.2529722106799683,0.35877926892076656,-0.06452457100613916,-0.2400958159615099
WT,0.15722818808403374,0.36243724313808545,-0.12510913651035366,-0.09857810322455626,0.1620653428445768,1.0,-0.6050222825346225,-0.040126363803647966,-0.5862361337016327,-0.05843799440632442
DO,0.026554917046841806,-0.08043138802576615,0.18025090578481745,0.43771541925572194,0.2529722106799683,-0.6050222825346225,1.0,0.006899764208539071,0.289498959655919,0.07706676766304575
pH,0.6021060953961022,-0.10714059022984788,0.5434080511996692,-0.2185719108954273,0.35877926892076656,-0.040126363803647966,0.006899764208539071,1.0,-0.039296506188654316,-0.4666544412939569
TN,-0.08983974594653354,-0.19964600211401673,0.04597678755952427,0.14603299213362547,-0.06452457100613916,-0.5862361337016327,0.289498959655919,-0.039296506188654316,1.0,0.2820689095014917
TP,-0.31305553145467324,0.015202106636231144,-0.355207180645156,0.1062161121807442,-0.2400958159615099,-0.05843799440632442,0.07706676766304575,-0.4666544412939569,0.2820689095014917,1.0
