,DO,pH,Turbidity,Conductivity,WT,windspeed,AT,max_TEM,min_TEM,humidity,precipitation,NOX,NH4,DIN,DIP,TN,TP,NPR
DO,1.0,0.006899764208539071,-0.18007867583726606,0.15489825405139904,-0.6050222825346225,-0.14637772322932874,-0.5030058872359409,-0.39085003842974536,-0.5301692584684742,-0.1612403007252079,-0.0035122981103811973,0.36538655908307655,0.08095629357743668,0.353607904071954,0.024807053927965145,0.289498959655919,0.07706676766304575,0.09688332128793452
pH,0.006899764208539071,1.0,-0.20463628880707765,0.3866890219140419,-0.040126363803647966,0.3999018494210631,0.07820148397581854,-0.13314387863566834,0.19134136831822593,-0.09937901818593747,0.10491353468325117,-0.04447232921821135,-0.05583040548278535,-0.05537162333150809,-0.35176938230621513,-0.039296506188654316,-0.4666544412939569,0.3355770033731013
Turbidity,-0.18007867583726606,-0.20463628880707765,1.0,-0.445755752432329,0.08582572805940708,-0.06323947681898928,0.16603946699083022,0.14304587737406066,0.1800746046283076,0.1852226855144697,0.04965005227136788,-0.15427207301135837,-0.04187671901669151,-0.14596580719592883,0.1207862936429049,-0.16020595780949443,0.07769014571619699,-0.15112624783509468
Conductivity,0.15489825405139904,0.3866890219140419,-0.445755752432329,1.0,-0.4856336880623711,0.021062234019670126,-0.47470739138468615,-0.52028291542618,-0.40992292014147574,-0.18723618467885564,-0.10968478144886074,0.4164121274544904,0.121158176758492,0.4121016366494841,-0.20253297278482,0.33402303703402825,-0.2347858084895415,0.33750839600898536
WT,-0.6050222825346225,-0.040126363803647966,0.08582572805940708,-0.4856336880623711,1.0,0.2097902255629591,0.8463769128911646,0.77014436192374,0.8254590447486497,0.13261360091387145,0.07775028284956605,-0.6896547076266061,-0.17371567286950299,-0.6807592302964592,-0.02324837050991148,-0.5862361337016327,-0.05843799440632442,-0.1968035883552786
windspeed,-0.14637772322932874,0.3999018494210631,-0.06323947681898928,0.021062234019670126,0.2097902255629591,1.0,0.3293638010581083,0.25196405156970547,0.3224050356956205,-0.2996454712218791,0.07827076820726264,-0.22324213281910574,-0.07687598492522502,-0.22947277409230785,-0.15734577239297662,-0.21665323692947944,-0.22728569735057894,0.06810268792282496
AT,-0.5030058872359409,0.07820148397581854,0.16603946699083022,-0.47470739138468615,0.8463769128911646,0.3293638010581083,1.0,0.91706833273151,0.953557068171428,0.11488476647774229,0.1082150657185944,-0.6250317489440168,-0.16079956467703618,-0.6205618003029296,-0.03235617680823913,-0.5636389171292764,-0.10578685241106275,-0.17127085886491564
max_TEM,-0.39085003842974536,-0.13314387863566834,0.14304587737406066,-0.52028291542618,0.77014436192374,0.25196405156970547,0.91706833273151,1.0,0.7762692409997876,-0.012140945291136327,0.04147318360374938,-0.5830893239213839,-0.1586995541580451,-0.5820357266386346,0.03604501709465574,-0.53124450402601,-0.013001022975136224,-0.23499372963388937
min_TEM,-0.5301692584684742,0.19134136831822593,0.1800746046283076,-0.40992292014147574,0.8254590447486497,0.3224050356956205,0.953557068171428,0.7762692409997876,1.0,0.2362507930181115,0.15280368184843426,-0.6067623626457418,-0.15429331370284763,-0.6033444342810607,-0.080075495228616,-0.5521074214172991,-0.15436940194292129,-0.11304564236291086
humidity,-0.1612403007252079,-0.09937901818593747,0.1852226855144697,-0.18723618467885564,0.13261360091387145,-0.2996454712218791,0.11488476647774229,-0.012140945291136327,0.2362507930181115,1.0,0.20886339219461242,-0.018553775807309835,0.07667948073765132,-0.004986120996393196,0.13629450002190682,0.007300410110199508,0.09787565959139782,-0.13611662605341712
precipitation,-0.0035122981103811973,0.10491353468325117,0.04965005227136788,-0.10968478144886074,0.07775028284956605,0.07827076820726264,0.1082150657185944,0.04147318360374938,0.15280368184843426,0.20886339219461242,1.0,-0.05290733161536684,-0.027033853703584156,-0.0511589574729477,0.02242852078711957,-0.08013395950479496,-0.04757940459024772,-0.04397548883101269
NOX,0.36538655908307655,-0.04447232921821135,-0.15427207301135837,0.4164121274544904,-0.6896547076266061,-0.22324213281910574,-0.6250317489440168,-0.5830893239213839,-0.6067623626457418,-0.018553775807309835,-0.05290733161536684,1.0,0.20742529665561132,0.9789762523564519,0.25754135198893974,0.7678381315846889,0.23706574723022422,0.055408312368744134
NH4,0.08095629357743668,-0.05583040548278535,-0.04187671901669151,0.121158176758492,-0.17371567286950299,-0.07687598492522502,-0.16079956467703618,-0.1586995541580451,-0.15429331370284763,0.07667948073765132,-0.027033853703584156,0.20742529665561132,1.0,0.34744920147295427,0.39259960156532603,0.20871289212263378,0.10451164550335408,-0.30590486104362286
DIN,0.353607904071954,-0.05537162333150809,-0.14596580719592883,0.4121016366494841,-0.6807592302964592,-0.22947277409230785,-0.6205618003029296,-0.5820357266386346,-0.6033444342810607,-0.004986120996393196,-0.0511589574729477,0.9789762523564519,0.34744920147295427,1.0,0.3037964115735084,0.7658499657334434,0.24372030091210856,0.011997953255677622
DIP,0.024807053927965145,-0.35176938230621513,0.1207862936429049,-0.20253297278482,-0.02324837050991148,-0.15734577239297662,-0.03235617680823913,0.03604501709465574,-0.080075495228616,0.13629450002190682,0.02242852078711957,0.25754135198893974,0.39259960156532603,0.3037964115735084,1.0,0.17451061138413815,0.47146826544840564,-0.9262748065377829
TN,0.289498959655919,-0.039296506188654316,-0.16020595780949443,0.33402303703402825,-0.5862361337016327,-0.21665323692947944,-0.5636389171292764,-0.53124450402601,-0.5521074214172991,0.007300410110199508,-0.08013395950479496,0.7678381315846889,0.20871289212263378,0.7658499657334434,0.17451061138413815,1.0,0.2820689095014917,0.07862979528017301
TP,0.07706676766304575,-0.4666544412939569,0.07769014571619699,-0.2347858084895415,-0.05843799440632442,-0.22728569735057894,-0.10578685241106275,-0.013001022975136224,-0.15436940194292129,0.09787565959139782,-0.04757940459024772,0.23706574723022422,0.10451164550335408,0.24372030091210856,0.47146826544840564,0.2820689095014917,1.0,-0.386144258685939
