figure,variable
environment_time_series_group_1.png,WT
environment_time_series_group_1.png,windspeed
environment_time_series_group_1.png,AT
environment_time_series_group_1.png,max_TEM
environment_time_series_group_1.png,min_TEM
environment_time_series_group_1.png,humidity
environment_time_series_group_1.png,precipitation
environment_time_series_group_1.png,DO
environment_time_series_group_2.png,pH
environment_time_series_group_2.png,Turbidity
environment_time_series_group_2.png,Conductivity
environment_time_series_group_2.png,NOX
environment_time_series_group_2.png,NH4
environment_time_series_group_2.png,DIN
environment_time_series_group_2.png,DIP
environment_time_series_group_2.png,TN
environment_time_series_group_2.png,TP
environment_time_series_group_2.png,NPR
environment_time_series_main_variables.png,WT
environment_time_series_main_variables.png,windspeed
environment_time_series_main_variables.png,AT
environment_time_series_main_variables.png,pH
environment_time_series_main_variables.png,TN
environment_time_series_main_variables.png,TP
environment_time_series_main_variables.png,Conductivity
environment_time_series_main_variables.png,DO
