model,horizon,target,dataset,method,nRMSE,nMAE,NSE,KGE
LSTM-KAN,1,Algae_Sum,train,Base,0.26882480058687547,0.20627396802273748,0.7740023663936904,0.8028949984545504
LSTM-KAN,1,Algae_Sum,train,DynamicWLS,0.26710032747695506,0.2024809146446243,0.7768925522686585,0.8095827283335892
LSTM-KAN,1,Green_Algae,train,Base,0.38640140589852023,0.2871863611659402,0.7883260500031615,0.8295103100840564
LSTM-KAN,1,Green_Algae,train,DynamicWLS,0.3825365449882597,0.28452232919963255,0.7925392801533825,0.8279742536376032
LSTM-KAN,1,Cyanobacteria,train,Base,0.2939806321890916,0.21418506342999796,0.7642644945753437,0.8465926599599616
LSTM-KAN,1,Cyanobacteria,train,DynamicWLS,0.29393394838656783,0.2141331928815227,0.7643393577111075,0.8466208144550254
LSTM-KAN,1,Diatoms,train,Base,0.40819463579661597,0.2755546388220708,0.7990252472794183,0.8506182588184812
LSTM-KAN,1,Diatoms,train,DynamicWLS,0.40819523962060683,0.27555944299511526,0.7990246526931284,0.8506109064593528
LSTM-KAN,1,Cryptophyta,train,Base,0.4924174633757238,0.33893575639978923,0.7495871435132505,0.8114735912912652
LSTM-KAN,1,Cryptophyta,train,DynamicWLS,0.49241782744428153,0.33893674850534605,0.7495867732279216,0.8114717915562132
LSTM-KAN,2,Algae_Sum,train,Base,0.35818268041115653,0.27638028792451574,0.5986141335778365,0.6589519097022676
LSTM-KAN,2,Algae_Sum,train,DynamicWLS,0.35819563244373587,0.27697630722437805,0.5985851044979964,0.659362773040161
LSTM-KAN,2,Green_Algae,train,Base,0.494363396182416,0.37618603330210415,0.6538404573433836,0.7334808478818307
LSTM-KAN,2,Green_Algae,train,DynamicWLS,0.48895059985786,0.3710466541695499,0.6613791771226829,0.7361898505322428
LSTM-KAN,2,Cyanobacteria,train,Base,0.3576244236793334,0.2620716798920034,0.6512042281488358,0.7403502116392874
LSTM-KAN,2,Cyanobacteria,train,DynamicWLS,0.35732901507759945,0.26141348281947957,0.651780221892444,0.7412157025645417
LSTM-KAN,2,Diatoms,train,Base,0.5089284918077023,0.34379568630724266,0.6882591750111632,0.7768759520864151
LSTM-KAN,2,Diatoms,train,DynamicWLS,0.5089113691883322,0.343765705327552,0.6882801513557001,0.7769071401329777
LSTM-KAN,2,Cryptophyta,train,Base,0.6063611948517428,0.4283948963425466,0.6208173825977217,0.69651404961728
LSTM-KAN,2,Cryptophyta,train,DynamicWLS,0.6063602508975839,0.4283911145221594,0.6208185631835939,0.6965170360795756
LSTM-KAN,3,Algae_Sum,train,Base,0.4079152398541903,0.3178050268515057,0.4782619310391326,0.5532819226824157
LSTM-KAN,3,Algae_Sum,train,DynamicWLS,0.4070283254930601,0.31749370079812894,0.48052825445813974,0.5551333245954768
LSTM-KAN,3,Green_Algae,train,Base,0.5539094879143281,0.4271281654362881,0.565022380098477,0.6599575144369331
LSTM-KAN,3,Green_Algae,train,DynamicWLS,0.5522932694135397,0.42539331009694403,0.5675570657979017,0.6576241965262233
LSTM-KAN,3,Cyanobacteria,train,Base,0.38750346349359965,0.2782279165464018,0.5906013884073147,0.6671298071906662
LSTM-KAN,3,Cyanobacteria,train,DynamicWLS,0.38752693018573925,0.27827424478487256,0.5905518016397822,0.6670729750330597
LSTM-KAN,3,Diatoms,train,Base,0.5807601080559607,0.4009714557016375,0.5951329495978923,0.6918880600062768
LSTM-KAN,3,Diatoms,train,DynamicWLS,0.5807612352244768,0.40097320549442045,0.5951313780235745,0.6918860233927784
LSTM-KAN,3,Cryptophyta,train,Base,0.6633031931546475,0.4773846545478144,0.5462326708805839,0.6397472038041025
LSTM-KAN,3,Cryptophyta,train,DynamicWLS,0.6633033216612029,0.4773843651441631,0.5462324950572721,0.6397473414953594
LSTM-KAN,1,Algae_Sum,val,Base,0.3341274824310426,0.27106984260982664,0.31855982882319556,0.6049561734462177
LSTM-KAN,1,Algae_Sum,val,DynamicWLS,0.31507684974219424,0.2554968725118072,0.3940506496916465,0.6395274175402403
LSTM-KAN,1,Green_Algae,val,Base,0.645247135075969,0.49353464775975653,0.6072694509474859,0.65118043683923
LSTM-KAN,1,Green_Algae,val,DynamicWLS,0.6478304049781345,0.4964992972009914,0.6041185346449204,0.659052160686611
LSTM-KAN,1,Cyanobacteria,val,Base,0.3039789121471483,0.22823933791710432,0.448914001710803,0.6076692182950012
LSTM-KAN,1,Cyanobacteria,val,DynamicWLS,0.3039945643281522,0.22825525606658595,0.4488572483011274,0.607559892190773
LSTM-KAN,1,Diatoms,val,Base,0.8896337825005188,0.6626748286329452,0.5822454446582661,0.5418715140077659
LSTM-KAN,1,Diatoms,val,DynamicWLS,0.8896367154280631,0.6626774818355862,0.5822426901633584,0.5418687180780744
LSTM-KAN,1,Cryptophyta,val,Base,0.4725759483702865,0.39073232841972755,0.06630189403979636,0.5442224293190052
LSTM-KAN,1,Cryptophyta,val,DynamicWLS,0.4725768648965664,0.3907332932284201,0.06629827235873353,0.5442204891892723
LSTM-KAN,2,Algae_Sum,val,Base,0.4435777419093947,0.36342771072256846,-0.18933890355836636,0.35506995776537453
LSTM-KAN,2,Algae_Sum,val,DynamicWLS,0.4365210526488203,0.35649589724820036,-0.15179853315088643,0.37445887255596677
LSTM-KAN,2,Green_Algae,val,Base,0.8442499001578102,0.6636334505413687,0.34219898980146257,0.4842647095270073
LSTM-KAN,2,Green_Algae,val,DynamicWLS,0.8431882624258499,0.6630198403469431,0.3438523090137757,0.48197229143494635
LSTM-KAN,2,Cyanobacteria,val,Base,0.38359482711250864,0.29779834328148475,0.12588443968925966,0.38330573201675255
LSTM-KAN,2,Cyanobacteria,val,DynamicWLS,0.38361335365473204,0.29782035991893313,0.1258000030453742,0.38327021265083205
LSTM-KAN,2,Diatoms,val,Base,1.09456180307619,0.8272580463739426,0.36840830656868384,0.3899335070049028
LSTM-KAN,2,Diatoms,val,DynamicWLS,1.0945710658276524,0.8272653699076337,0.3683976168084174,0.3899244996807849
LSTM-KAN,2,Cryptophyta,val,Base,0.5873840663680993,0.4851538188987784,-0.46074192104078415,0.34827505416769844
LSTM-KAN,2,Cryptophyta,val,DynamicWLS,0.5873840838593457,0.4851537106415265,-0.46074200803734655,0.3482760988629028
LSTM-KAN,3,Algae_Sum,val,Base,0.5211429967502293,0.43765537373564223,-0.6523389887454856,0.1419639438030189
