model,horizon,target,method,nRMSE,nMAE,NSE,KGE
LSTM-KAN,1,Algae_Sum,Base,0.3127003837545883,0.2507940345491829,0.5383560825824601,0.5182514675696054
LSTM-KAN,1,Algae_Sum,BU,0.2982088072993165,0.23690422133343558,0.5801528390541452,0.5517329564606493
LSTM-KAN,1,Algae_Sum,TD,0.3127003837545883,0.2507940345491829,0.5383560825824601,0.5182514675696054
LSTM-KAN,1,Algae_Sum,OLS,0.30970702402530603,0.2479736339145409,0.5471520569238302,0.5250038202165006
LSTM-KAN,1,Algae_Sum,WLS,0.3053039608851653,0.2437651322008177,0.5599366843292917,0.5350716753497365
LSTM-KAN,1,Algae_Sum,MinT,0.3013872115211136,0.23999740981299458,0.5711554156377757,0.5441930708738221
LSTM-KAN,1,Green_Algae,Base,3.641556957581218,3.145009709810358,-2.0960473497184307,-1.9145161294306052
LSTM-KAN,1,Green_Algae,BU,3.641556957581218,3.145009709810358,-2.0960473497184307,-1.9145161294306052
LSTM-KAN,1,Green_Algae,TD,5.09339469795282,4.765578590160932,-5.056867086095457,-3.6504223119344
LSTM-KAN,1,Green_Algae,OLS,3.6295346817234697,3.141586486588461,-2.075638445533485,-1.9137600659751026
LSTM-KAN,1,Green_Algae,WLS,3.633883020761577,3.1428701952966738,-2.0830123549510344,-1.9140285071483074
LSTM-KAN,1,Green_Algae,MinT,3.6321026758892283,3.142351447686886,-2.0799921803121193,-1.913917851349722
LSTM-KAN,1,Cyanobacteria,Base,0.4031506234156581,0.3232175714205047,0.3829946610377497,0.3755784842201316
LSTM-KAN,1,Cyanobacteria,BU,0.4031506234156581,0.3232175714205047,0.3829946610377497,0.3755784842201316
LSTM-KAN,1,Cyanobacteria,TD,0.5135347159663901,0.42072766857954935,-0.0011378171039342355,0.17855758819857714
LSTM-KAN,1,Cyanobacteria,OLS,0.41111727121296526,0.33068051850559993,0.35836847365583435,0.3566078411303739
LSTM-KAN,1,Cyanobacteria,WLS,0.4081038089983416,0.32788179435928244,0.3677402328278998,0.3637886011061029
LSTM-KAN,1,Cyanobacteria,MinT,0.40332622472271984,0.32338436076783744,0.3824570429160665,0.37516034946030685
LSTM-KAN,1,Diatoms,Base,0.7773519635096192,0.5788421938461732,0.22683463308081098,0.21413387277906604
LSTM-KAN,1,Diatoms,BU,0.7773519635096192,0.5788421938461732,0.22683463308081098,0.21413387277906604
LSTM-KAN,1,Diatoms,TD,0.8680859155032992,0.6830050067047501,0.03581046787165121,0.03141560119608022
LSTM-KAN,1,Diatoms,OLS,0.7895440035556475,0.5855703367795329,0.20239168780047856,0.19654660357516707
LSTM-KAN,1,Diatoms,WLS,0.7848786449470777,0.5828615996457001,0.2117898590181112,0.2031287014187776
LSTM-KAN,1,Diatoms,MinT,0.7764877686850281,0.5783937078247099,0.2285527585497339,0.21543109937032268
LSTM-KAN,1,Cryptophyta,Base,0.4282744151106125,0.31925628414323715,0.33308360061629116,0.48055541500230825
LSTM-KAN,1,Cryptophyta,BU,0.4282744151106125,0.31925628414323715,0.33308360061629116,0.48055541500230825
LSTM-KAN,1,Cryptophyta,TD,0.5850497338115197,0.4434436906527671,-0.24455102741336177,0.1246907625067526
LSTM-KAN,1,Cryptophyta,OLS,0.43328280793330604,0.3234690239193359,0.31739408095371413,0.4688300654541644
LSTM-KAN,1,Cryptophyta,WLS,0.431366156183642,0.3218462398874656,0.3234198179323836,0.47325194646575475
LSTM-KAN,1,Cryptophyta,MinT,0.430278858447546,0.3209350778767487,0.32682628346379194,0.4757951090660384
LSTM-KAN,2,Algae_Sum,Base,0.3932064189921474,0.3171505686135291,0.28407320567511785,0.31191474515086826
LSTM-KAN,2,Algae_Sum,BU,0.385946325003672,0.3114262478557741,0.3102666292684335,0.3294054326947622
LSTM-KAN,2,Algae_Sum,TD,0.3932064189921474,0.3171505686135291,0.28407320567511785,0.31191474515086826
LSTM-KAN,2,Algae_Sum,OLS,0.3916721690449338,0.3158419793182568,0.2896492474294956,0.3154785696554049
LSTM-KAN,2,Algae_Sum,WLS,0.3894471596235057,0.3140175965589573,0.2976970378400795,0.3207627371300792
LSTM-KAN,2,Algae_Sum,MinT,0.3876509457026624,0.3126534200589914,0.30416044219782157,0.32514191518701774
LSTM-KAN,2,Green_Algae,Base,3.785249919239028,3.2954625590093647,-2.291598193447882,-2.019346691913279
LSTM-KAN,2,Green_Algae,BU,3.785249919239028,3.2954625590093647,-2.291598193447882,-2.019346691913279
LSTM-KAN,2,Green_Algae,TD,4.972822185171022,4.710166381566799,-4.680983896010812,-3.5723169365082397
LSTM-KAN,2,Green_Algae,OLS,3.7441186573122613,3.2555778349177116,-2.2204525537174065,-1.9734729835102982
LSTM-KAN,2,Green_Algae,WLS,3.7594654202127322,3.270488504593517,-2.246907277677969,-1.990669907624111
LSTM-KAN,2,Green_Algae,MinT,3.7563322220147075,3.2674517190288213,-2.2414974847207136,-1.9871669282360456
LSTM-KAN,2,Cyanobacteria,Base,0.47028585181188526,0.38223727184424516,0.17197077457569787,0.21100647490289437
LSTM-KAN,2,Cyanobacteria,BU,0.47028585181188526,0.38223727184424516,0.17197077457569787,0.21100647490289437
LSTM-KAN,2,Cyanobacteria,TD,0.5690419751681068,0.4664642927657677,-0.2123009480376552,-0.015974985040295042
LSTM-KAN,2,Cyanobacteria,OLS,0.4763612500851001,0.3871970474623547,0.15043875819323393,0.19781226654200001
LSTM-KAN,2,Cyanobacteria,WLS,0.4740621906073328,0.38531591624035594,0.158619434037492,0.2028009635869742
LSTM-KAN,2,Cyanobacteria,MinT,0.4710131944689573,0.382824902937011,0.16940753903662376,0.20942455842692598
LSTM-KAN,2,Diatoms,Base,0.903987946024806,0.6679947883157068,-0.04449945039719139,0.06778099215880551
LSTM-KAN,2,Diatoms,BU,0.903987946024806,0.6679947883157068,-0.04449945039719139,0.06778099215880551
LSTM-KAN,2,Diatoms,TD,0.9142105990944493,0.7172746439687271,-0.06825624620298831,-0.08595618909393155
LSTM-KAN,2,Diatoms,OLS,0.9208050479408798,0.6802411267455413,-0.08372307264765588,0.045828781233193894
LSTM-KAN,2,Diatoms,WLS,0.9144572109041805,0.6756343709309741,-0.06883265636272462,0.0540919446357363
LSTM-KAN,2,Diatoms,MinT,0.9039613625812664,0.6679753768660371,-0.04443802041014844,0.06781586911086124
LSTM-KAN,2,Cryptophyta,Base,0.5042982103514133,0.3828692244010443,0.08847613317157343,0.3007167030619713
